"","cors"
"CTDSP2",-0.0369994996971348
"ZNF524",-0.0369994996971348
"HOPX",-0.0368258117672196
"CEP170B",-0.0367127167714678
"CLSTN3",-0.0367127167714678
"CREB3L1",-0.0367127167714678
"NAT10",-0.0367127167714678
"PCBD2",-0.0367127167714678
"PIPOX",-0.0367127167714678
"POLD3",-0.0367127167714678
"SLC38A5",-0.0367127167714678
"UTP4",-0.0367127167714678
"FABP5",-0.0366729402996452
"CD3G",-0.0365975356661095
"CREBBP",-0.0365975356661095
"GOLGA2P5",-0.0365975356661095
"TRAC",-0.0364866189749803
"NPIPB15",-0.0363215545268212
"SPAG4",-0.0362989940629851
"LPP",-0.0361546912061657
"HIST1H2BD",-0.0361534422394451
"SIAH1",-0.0361534422394451
"SOX9",-0.0361534422394451
"FRAT2",-0.0361488750179049
"IGFBP7",-0.0361123575760493
"AC005083.1",-0.0357870599213788
"APOLD1",-0.0357870599213788
"ARHGAP15",-0.0357870599213788
"ATXN1L",-0.0357870599213788
"AXIN1",-0.0357870599213788
"BAG5",-0.0357870599213788
"CD1D",-0.0357870599213788
"CDKN2C",-0.0357870599213788
"CEP295",-0.0357870599213788
"CHGB",-0.0357870599213788
"CTD.2228K2.7",-0.0357870599213788
"DEXI",-0.0357870599213788
"DPY19L4",-0.0357870599213788
"DSN1",-0.0357870599213788
"DTWD1",-0.0357870599213788
"EPHA2",-0.0357870599213788
"EXPH5",-0.0357870599213788
"FAM175B",-0.0357870599213788
"FARS2",-0.0357870599213788
"GAS2L1",-0.0357870599213788
"GFM2",-0.0357870599213788
"GYPC",-0.0357870599213788
"IGKV2.30",-0.0357870599213788
"IHH",-0.0357870599213788
"JMJD8",-0.0357870599213788
"KIF2A",-0.0357870599213788
"KMT2B",-0.0357870599213788
"LRSAM1",-0.0357870599213788
"MACROD1",-0.0357870599213788
"MEX3C",-0.0357870599213788
"MGAT5",-0.0357870599213788
"MKL2",-0.0357870599213788
"MRI1",-0.0357870599213788
"NMNAT3",-0.0357870599213788
"OTUD4",-0.0357870599213788
"PGBD2",-0.0357870599213788
"PIAS4",-0.0357870599213788
"PPP1R35",-0.0357870599213788
"PRKRIP1",-0.0357870599213788
"RARA.AS1",-0.0357870599213788
"REXO2",-0.0357870599213788
"RNF20",-0.0357870599213788
"RNF216P1",-0.0357870599213788
"RNU4.2",-0.0357870599213788
"RP11.632C17__A.1",-0.0357870599213788
"SEPT6",-0.0357870599213788
"SERP2",-0.0357870599213788
"SEZ6L2",-0.0357870599213788
"SLC38A7",-0.0357870599213788
"TBC1D8",-0.0357870599213788
"TBL3",-0.0357870599213788
"TFB1M",-0.0357870599213788
"TGFBRAP1",-0.0357870599213788
"THAP12",-0.0357870599213788
"THAP3",-0.0357870599213788
"THAP5",-0.0357870599213788
"TMEM192",-0.0357870599213788
"TMEM38B",-0.0357870599213788
"TMEM9",-0.0357870599213788
"TRAF3IP1",-0.0357870599213788
"TSPAN4",-0.0357870599213788
"TTC33",-0.0357870599213788
"UTRN",-0.0357870599213788
"WDR37",-0.0357870599213788
"ZBTB40",-0.0357870599213788
"ZMAT3",-0.0357870599213788
"ZNF160",-0.0357870599213788
"ZNF331",-0.0357870599213788
"ZXDC",-0.0357870599213788
"MALAT1",-0.0357324178897037
"ABHD12",-0.0354619575227736
"PAPD5",-0.0354181257908707
"IFI16",-0.0350610800287188
"MTG1",-0.0350610800287188
"TAF8",-0.0350610800287188
"TNKS",-0.0350610800287188
"UFSP2",-0.0350610800287188
"BBX",-0.0350229433151625
"CARS2",-0.0350229433151625
"CD37",-0.0350229433151625
"EIF2AK4",-0.0350229433151625
"FAM126A",-0.0350229433151625
"KDM8",-0.0350229433151625
"MED17",-0.0350229433151625
"NUP85",-0.0350229433151625
"OGFR",-0.0350229433151625
"PSMC1",-0.0350229433151625
"RASSF6",-0.0350229433151625
"RPL23AP2",-0.0350229433151625
"STK11",-0.0350229433151625
"TOMM40L",-0.0350229433151625
"TUBGCP3",-0.0350229433151625
"TUBGCP6",-0.0350229433151625
"USE1",-0.0350229433151625
"USP42",-0.0350229433151625
"WWP1",-0.0350229433151625
"USP2",-0.0349318427182347
"DERL3",-0.0345931647607175
"CD79A",-0.0345708977835694
"CINP",-0.0344307298362396
"E2F4",-0.0344307298362396
"PIK3C2A",-0.0344307298362396
"POU5F1",-0.0344307298362396
"RALGDS",-0.0344307298362396
"C5orf24",-0.0342106182321985
"CD27",-0.0342068463522004
"GTF2H3",-0.0342068463522004
"IGLV2.8",-0.0342068463522004
"PAK1IP1",-0.0342068463522004
"PARD3B",-0.0342068463522004
"PTPRJ",-0.0342068463522004
"RAB40C",-0.0342068463522004
"TARBP1",-0.0342068463522004
"ALOX5AP",-0.034195786215788
"RGS1",-0.034169036419855
"PRNP",-0.0341217137225742
"TRBC1",-0.0340281629540463
"C1R",-0.0338006138868451
"CCDC34",-0.0337801560185757
"DESI2",-0.0337481896500443
"THOC3",-0.0337481896500443
"ACLY",-0.0336428140296244
"NFATC2IP",-0.0334746705086442
"FLYWCH2",-0.0333764569066059
"BCAS2",-0.0332008735639963
"AAR2",-0.0331128149451254
"ABCF2",-0.0331128149451254
"AC092066.1",-0.0331128149451254
"ACCS",-0.0331128149451254
"ADGRA3",-0.0331128149451254
"APAF1",-0.0331128149451254
"ARHGAP4",-0.0331128149451254
"ARHGEF10L",-0.0331128149451254
"ARID3A",-0.0331128149451254
"ARL4D",-0.0331128149451254
"ASB2",-0.0331128149451254
"ATP5EP2",-0.0331128149451254
"ATXN7L3",-0.0331128149451254
"BAHD1",-0.0331128149451254
"C21orf33",-0.0331128149451254
"C4BPB",-0.0331128149451254
"CCL11",-0.0331128149451254
"CDADC1",-0.0331128149451254
"CDC6",-0.0331128149451254
"CDK12",-0.0331128149451254
"CLHC1",-0.0331128149451254
"CLIC4",-0.0331128149451254
"CNEP1R1",-0.0331128149451254
"CRLF3",-0.0331128149451254
"CTC.338M12.4",-0.0331128149451254
"CXorf40A",-0.0331128149451254
"DIP2C",-0.0331128149451254
"DNASE1L1",-0.0331128149451254
"DNHD1",-0.0331128149451254
"DVL2",-0.0331128149451254
"EIF3L",-0.0331128149451254
"ENOX2",-0.0331128149451254
"ENTPD3.AS1",-0.0331128149451254
"EPC2",-0.0331128149451254
"ERCC6",-0.0331128149451254
"ERN2",-0.0331128149451254
"FAM102B",-0.0331128149451254
"FAM222B",-0.0331128149451254
"FAN1",-0.0331128149451254
"FGFR4",-0.0331128149451254
"G2E3",-0.0331128149451254
"GLIPR2",-0.0331128149451254
"GLMN",-0.0331128149451254
"GTF3C4",-0.0331128149451254
"GTPBP4",-0.0331128149451254
"H2AFY2",-0.0331128149451254
"HEIH",-0.0331128149451254
"HRAS",-0.0331128149451254
"ICK",-0.0331128149451254
"KDM2B",-0.0331128149451254
"KLHL21",-0.0331128149451254
"KLHL23",-0.0331128149451254
"LINC00649",-0.0331128149451254
"MARCH8",-0.0331128149451254
"METTL16",-0.0331128149451254
"MGA",-0.0331128149451254
"NAALADL2",-0.0331128149451254
"NBPF12",-0.0331128149451254
"NOM1",-0.0331128149451254
"NSMCE2",-0.0331128149451254
"PEX5",-0.0331128149451254
"POLR2J3",-0.0331128149451254
"PTPN7",-0.0331128149451254
"RAB26",-0.0331128149451254
"RAP2B",-0.0331128149451254
"RAPGEF2",-0.0331128149451254
"RERGL",-0.0331128149451254
"RNF166",-0.0331128149451254
"RNGTT",-0.0331128149451254
"RP11.977G19.11",-0.0331128149451254
"RPS18P12",-0.0331128149451254
"RRP1",-0.0331128149451254
"SETDB1",-0.0331128149451254
"SLC10A3",-0.0331128149451254
"SLC25A42",-0.0331128149451254
"SP110",-0.0331128149451254
"SPAST",-0.0331128149451254
"SSH1",-0.0331128149451254
"STXBP6",-0.0331128149451254
"SUOX",-0.0331128149451254
"SVIL.AS1",-0.0331128149451254
"TADA2B",-0.0331128149451254
"TAF1",-0.0331128149451254
"TBP",-0.0331128149451254
"TELO2",-0.0331128149451254
"THOC5",-0.0331128149451254
"TMEM107",-0.0331128149451254
"TMEM203",-0.0331128149451254
"TP53I11",-0.0331128149451254
"TPCN2",-0.0331128149451254
"TRMT61A",-0.0331128149451254
"UXS1",-0.0331128149451254
"WLS",-0.0331128149451254
"ZBTB34",-0.0331128149451254
"ZC3H18",-0.0331128149451254
"ZNF26",-0.0331128149451254
"ZNF397",-0.0331128149451254
"ZNF493",-0.0331128149451254
"ZNF500",-0.0331128149451254
"ZNF557",-0.0331128149451254
"ZNF688",-0.0331128149451254
"ZNF765",-0.0331128149451254
"ZNF880",-0.0331128149451254
"BIK",-0.0331128149451254
"NUSAP1",-0.0331128149451254
"RBFA",-0.0331128149451254
"TXNL4B",-0.0331128149451254
"TYMS",-0.0329965329670923
"DNAJC5",-0.0327926442176556
"RAC2",-0.0327926442176556
"SORT1",-0.0327926442176556
"MFAP4",-0.0327776925563903
"MEF2A",-0.0327268503183564
"MIEF1",-0.0327268503183564
"MSN",-0.0327268503183564
"PHF14",-0.0327268503183564
"SPARCL1",-0.0327268503183564
"BRI3BP",-0.0327073866677881
"CSNK2A1",-0.032660464092846
"AATF",-0.032558507921127
"AGO3",-0.032558507921127
"ANKRD13A",-0.032558507921127
"BRAT1",-0.032558507921127
"C19orf54",-0.032558507921127
"DAXX",-0.032558507921127
"FAM98B",-0.032558507921127
"FOXO1",-0.032558507921127
"MAP3K5",-0.032558507921127
"MRPS27",-0.032558507921127
"NPEPL1",-0.032558507921127
"RBM27",-0.032558507921127
"RDH13",-0.032558507921127
"RP11.596C23.2",-0.032558507921127
"SGSM3",-0.032558507921127
"SHBG",-0.032558507921127
"UCK2",-0.032558507921127
"ZADH2",-0.032558507921127
"SPPL2B",-0.0325541041112221
"MZB1",-0.0324563919640271
"RBM25",-0.0323687630466976
"AHSA2",-0.0323557760845276
"AKAP10",-0.0321786223389354
"BRD7",-0.0321786223389354
"BTN2A1",-0.0321786223389354
"C4orf19",-0.0321786223389354
"CCNG2",-0.0321786223389354
"CLK2",-0.0321786223389354
"GCLC",-0.0321786223389354
"ITSN2",-0.0321786223389354
"MAFG",-0.0321786223389354
"MAP2K1",-0.0321786223389354
"RNPC3",-0.0321786223389354
"SLC35C2",-0.0321786223389354
"DCN",-0.0320562936162847
"SLAMF7",-0.0318544646715081
"NSUN5P1",-0.0317585092879466
"CCL8",-0.0315322440942249
"CCNB2",-0.0315322440942249
"CENPM",-0.0315322440942249
"CYR61",-0.0315322440942249
"EIF4ENIF1",-0.0315322440942249
"KAT2A",-0.0315322440942249
"LMNB2",-0.0315322440942249
"LRIG1",-0.0315322440942249
"RAD51",-0.0315322440942249
"TP53",-0.0315322440942249
"TRABD2A",-0.0315322440942249
"ZCCHC2",-0.0315322440942249
"ZNF830",-0.0315322440942249
"NLRC5",-0.0313924606480064
"DFFA",-0.0313681136670607
"KIF12",-0.0313090424031337
"MKI67",-0.0312067824385136
"ABHD11",-0.0311635259946487
"PTTG1",-0.0309508040268309
"ANGPTL4",-0.0309221864972024
"PPP2R5A",-0.0308302245657799
"SWAP70",-0.0308302245657799
"C1S",-0.0308040218871145
"CENPV",-0.0307845492367618
"SNRPA",-0.0306696364831238
"BCAR3",-0.0305748241173235
"GBF1",-0.0305748241173235
"KCNQ1OT1",-0.0305748241173235
"VPS37C",-0.0305748241173235
"ARHGDIB",-0.0305618707653511
"RAB5B",-0.0304917398753394
"RAF1",-0.0302873099481961
"CYP2B7P",-0.0302790970996685
"ERO1B",-0.0302790970996685
"EVI2B",-0.0302790970996685
"KMT2A",-0.0302790970996685
"NFIC",-0.0302790970996685
"SIPA1L1",-0.0302790970996685
"ZMIZ2",-0.0302790970996685
"GMFB",-0.0302615317424292
"OLFM4",-0.0302613927127804
"ACTN1",-0.0302098979373199
"ADGRG5",-0.0302098979373199
"AL133243.2",-0.0302098979373199
"AP1S3",-0.0302098979373199
"APBB1",-0.0302098979373199
"APBB1IP",-0.0302098979373199
"ASCL2",-0.0302098979373199
"ASRGL1",-0.0302098979373199
"BCAS4",-0.0302098979373199
"BLVRA",-0.0302098979373199
"BTF3L4",-0.0302098979373199
"C11orf80",-0.0302098979373199
"C12orf76",-0.0302098979373199
"C1orf109",-0.0302098979373199
"C1orf186",-0.0302098979373199
"C5orf51",-0.0302098979373199
"CAV1",-0.0302098979373199
"CCDC71",-0.0302098979373199
"CDCA4",-0.0302098979373199
"CDK5RAP2",-0.0302098979373199
"CFAP69",-0.0302098979373199
"CLEC2D",-0.0302098979373199
"CSTF1",-0.0302098979373199
"CTC.338M12.5",-0.0302098979373199
"CTD.2336O2.1",-0.0302098979373199
"CWF19L1",-0.0302098979373199
"CXorf23",-0.0302098979373199
"DDB2",-0.0302098979373199
"DGCR8",-0.0302098979373199
"E2F3",-0.0302098979373199
"EMSY",-0.0302098979373199
"ENC1",-0.0302098979373199
"EZH1",-0.0302098979373199
"FBXO42",-0.0302098979373199
"FICD",-0.0302098979373199
"FMO1",-0.0302098979373199
"FSTL1",-0.0302098979373199
"GABRP",-0.0302098979373199
"GID4",-0.0302098979373199
"GSAP",-0.0302098979373199
"HBA1",-0.0302098979373199
"HEXIM2",-0.0302098979373199
"IFIT5",-0.0302098979373199
"IL15RA",-0.0302098979373199
"KRT12",-0.0302098979373199
"LINC00152",-0.0302098979373199
"LYAR",-0.0302098979373199
"MAP3K3",-0.0302098979373199
"MICALL1",-0.0302098979373199
"MIR940",-0.0302098979373199
"MLLT1",-0.0302098979373199
"MYO9A",-0.0302098979373199
"NAF1",-0.0302098979373199
"NPM3",-0.0302098979373199
"NXT2",-0.0302098979373199
"PAOX",-0.0302098979373199
"PCNX2",-0.0302098979373199
"PDCD4.AS1",-0.0302098979373199
"PHLDA1",-0.0302098979373199
"PKN3",-0.0302098979373199
"PXYLP1",-0.0302098979373199
"RAP1GAP",-0.0302098979373199
"RASGEF1B",-0.0302098979373199
"RASSF1",-0.0302098979373199
"RBM4",-0.0302098979373199
"RP11.1148L6.8",-0.0302098979373199
"RP11.129M16.4",-0.0302098979373199
"RP11.147L13.11",-0.0302098979373199
"RP11.420A23.1",-0.0302098979373199
"RP11.705C15.2",-0.0302098979373199
"RPL39L",-0.0302098979373199
"RPPH1",-0.0302098979373199
"RUNDC1",-0.0302098979373199
"S100A9",-0.0302098979373199
"SELPLG",-0.0302098979373199
"SH2D2A",-0.0302098979373199
"SIT1",-0.0302098979373199
"SLC25A32",-0.0302098979373199
"SSBP4",-0.0302098979373199
"TCF4",-0.0302098979373199
"TGFBR2",-0.0302098979373199
"TIGD3",-0.0302098979373199
"TMEM120B",-0.0302098979373199
"TNFAIP8",-0.0302098979373199
"TSTD3",-0.0302098979373199
"TTC28",-0.0302098979373199
"TUBD1",-0.0302098979373199
"WDR27",-0.0302098979373199
"WHRN",-0.0302098979373199
"ZNF18",-0.0302098979373199
"ZNF202",-0.0302098979373199
"ZNF428",-0.0302098979373199
"ZNF544",-0.0302098979373199
"ZNF552",-0.0302098979373199
"ZNF816",-0.0302098979373199
"ZZZ3",-0.0302098979373199
"AADACP1",-0.0302098979373199
"ABHD13",-0.0302098979373199
"AC005355.2",-0.0302098979373199
"AC013461.1",-0.0302098979373199
"AGO4",-0.0302098979373199
"AKAP8L",-0.0302098979373199
"ALKBH4",-0.0302098979373199
"ANKRD42",-0.0302098979373199
"ARL15",-0.0302098979373199
"ARRDC2",-0.0302098979373199
"B9D2",-0.0302098979373199
"BLMH",-0.0302098979373199
"BTC",-0.0302098979373199
"CHCHD6",-0.0302098979373199
"CHEK2",-0.0302098979373199
"CIART",-0.0302098979373199
"CLP1",-0.0302098979373199
"CTC.425F1.4",-0.0302098979373199
"CTD.2270P14.2",-0.0302098979373199
"CYP4F11",-0.0302098979373199
"DENND4A",-0.0302098979373199
"DIS3L",-0.0302098979373199
"E2F2",-0.0302098979373199
"EEFSEC",-0.0302098979373199
"EIF2AK3",-0.0302098979373199
"ENPP1",-0.0302098979373199
"FAM149B1",-0.0302098979373199
"FAM168A",-0.0302098979373199
"FAM184A",-0.0302098979373199
"FTO",-0.0302098979373199
"FZD1",-0.0302098979373199
"GCAT",-0.0302098979373199
"GDAP2",-0.0302098979373199
"GPR65",-0.0302098979373199
"HENMT1",-0.0302098979373199
"HFE",-0.0302098979373199
"HIST1H2AE",-0.0302098979373199
"HIST1H2BN",-0.0302098979373199
"IMPAD1",-0.0302098979373199
"KB.1732A1.1",-0.0302098979373199
"LINC00543",-0.0302098979373199
"LINC00623",-0.0302098979373199
"LINC00672",-0.0302098979373199
"LINC00857",-0.0302098979373199
"LRP4",-0.0302098979373199
"LZTS2",-0.0302098979373199
"MREG",-0.0302098979373199
"MYBBP1A",-0.0302098979373199
"MYH3",-0.0302098979373199
"NACA3P",-0.0302098979373199
"NEK6",-0.0302098979373199
"NF2",-0.0302098979373199
"PHACTR1",-0.0302098979373199
"PIGV",-0.0302098979373199
"POLD1",-0.0302098979373199
"PRMT7",-0.0302098979373199
"PRPS1",-0.0302098979373199
"PRR26",-0.0302098979373199
"RAD51AP1",-0.0302098979373199
"RCCD1",-0.0302098979373199
"RGMB",-0.0302098979373199
"RHBG",-0.0302098979373199
"RIPK2",-0.0302098979373199
"RNU4ATAC",-0.0302098979373199
