"","cors"
"TRBC2",-0.0737038834130353
"SCARNA9",-0.0644005247780789
"CD52",-0.0634382384243878
"DIP2A",-0.0627480326173521
"TMEM94",-0.0627480326173521
"VTI1B",-0.0625312700334949
"RUSC1",-0.0625043389218699
"SELM",-0.061939916759622
"SRSF6",-0.0597010337160304
"CD3E",-0.0590714293278316
"RCN3",-0.0580817527393753
"IL7R",-0.0571708480554272
"CYTIP",-0.0565451616647257
"NMI",-0.0565451616647257
"HPCAL1",-0.0564225198280044
"DVL3",-0.056102666585495
"FAM110C",-0.056102666585495
"WDR12",-0.0559062399924308
"ARHGEF1",-0.0543950580195671
"COQ7",-0.0543950580195671
"ANP32E",-0.0542696660583007
"RAB4B",-0.0538654375230237
"ZMYM2",-0.0530995117465283
"KLHL36",-0.0530111045281385
"OSBP",-0.0527442277460811
"C7orf50",-0.0526363543811525
"CNPY3",-0.0526363543811525
"RHOH",-0.0526363543811525
"ZBTB38",-0.0525935696476952
"DNAJA3",-0.0515690932899784
"MGRN1",-0.051229775667928
"PRKD2",-0.051229775667928
"ZNF654",-0.0508749022219214
"GNAI2",-0.0508212355667932
"NXT1",-0.0508212355667932
"SESN2",-0.0508212355667932
"STK25",-0.0508212355667932
"UBE3B",-0.0508212355667932
"APC",-0.0503800809870326
"PLXNA2",-0.0503795476649818
"C6orf203",-0.0499484073831217
"DDIT3",-0.0498233868426797
"OTUD5",-0.0495509372939897
"USP47",-0.0495509372939897
"AKAP8",-0.0493912675057179
"HDAC3",-0.0493912675057179
"DNAJB6",-0.0493773297310785
"ITGA3",-0.0492876888796686
"CTD.2583A14.11",-0.0489434089575407
"IMPA2",-0.0489434089575407
"MOCS1",-0.0489434089575407
"NSL1",-0.0489434089575407
"PDRG1",-0.0489434089575407
"TTF1",-0.0489434089575407
"IFI27L2",-0.0489083410238311
"CXCL16",-0.0488788447755706
"SRPRB",-0.0488751447364866
"IGHA1",-0.0485465020500663
"LGALS1",-0.0483428362044389
"RP11.51J9.5",-0.0482002471883191
"MLLT6",-0.0476960471579705
"MON2",-0.0476960471579705
"CD27.AS1",-0.046995341206875
"GSTA4",-0.046995341206875
"RCN2",-0.046995341206875
"SBF1",-0.046995341206875
"SEH1L",-0.046995341206875
"SNX18",-0.046995341206875
"TAOK2",-0.046995341206875
"COMMD4",-0.0466056617292084
"IGKC",-0.0462283689219745
"ACTL6A",-0.0461856686522756
"TMUB1",-0.0459816437277982
"PNLIPRP2",-0.0458142365520712
"CXCR4",-0.0455575419496406
"ACKR4",-0.0455168964070533
"ALDH5A1",-0.0455168964070533
"ATP2C2",-0.0455168964070533
"CLDN12",-0.0455168964070533
"TSPAN31",-0.0455168964070533
"CUX1",-0.0454268472518291
"RALGAPB",-0.0454268472518291
"SCAPER",-0.0454268472518291
"VSIG10",-0.0454268472518291
"PRRC2B",-0.0453227592820357
"LDHB",-0.0451923078945919
"AGAP3",-0.0449678867801514
"BAP1",-0.0449678867801514
"BCAT2",-0.0449678867801514
"BCKDHB",-0.0449678867801514
"FAM21A",-0.0449678867801514
"GAREM1",-0.0449678867801514
"GGA3",-0.0449678867801514
"GPAT4",-0.0449678867801514
"HMBS",-0.0449678867801514
"MTRF1",-0.0449678867801514
"PIM2",-0.0449678867801514
"PTPN4",-0.0449678867801514
"SUGP1",-0.0449678867801514
"ZNF121",-0.0449678867801514
"CSNK1G2",-0.0449678867801514
"WIPF1",-0.0449678867801514
"NELFB",-0.0447372481271814
"HDDC3",-0.0446670171044875
"LMF2",-0.0446670171044875
"CD53",-0.0445576960821276
"JCHAIN",-0.044481206182051
"IFNG",-0.0444099324339211
"CBR4",-0.0443503218420135
"RBBP4",-0.0442436085251279
"LUM",-0.0439994322975468
"ATP11A",-0.0437976094601522
"CSAD",-0.0437976094601522
"TNFAIP3",-0.0436406729806169
"SFXN3",-0.043543443368294
"PYGB",-0.043498671972664
"C17orf62",-0.043464954779341
"RP13.270P17.3",-0.043464954779341
"WDR5",-0.043464954779341
"ZNF444",-0.043464954779341
"KPNA4",-0.0431106011426813
"VIM",-0.0430941857503401
"CCL5",-0.0430154924654111
"AGO2",-0.0428497600871136
"AP5Z1",-0.0428497600871136
"CBFB",-0.0428497600871136
"CMSS1",-0.0428497600871136
"DHX8",-0.0428497600871136
"ERMARD",-0.0428497600871136
"FAM122B",-0.0428497600871136
"FAM63A",-0.0428497600871136
"IGLV6.57",-0.0428497600871136
"LRRC8A",-0.0428497600871136
"LSG1",-0.0428497600871136
"MR1",-0.0428497600871136
"NARFL",-0.0428497600871136
"NUP205",-0.0428497600871136
"PDE5A",-0.0428497600871136
"RP5.821D11.7",-0.0428497600871136
"SAYSD1",-0.0428497600871136
"SLC5A11",-0.0428497600871136
"SLC5A6",-0.0428497600871136
"TET2",-0.0428497600871136
"TLK2",-0.0428497600871136
"TP53INP1",-0.0428497600871136
"TUBA1A",-0.0428497600871136
"VAC14",-0.0428497600871136
"VPS54",-0.0428497600871136
"YLPM1",-0.0428497600871136
"ZNF44",-0.0428497600871136
"CEBPZOS",-0.0428143986317364
"ALG8",-0.0427220549766339
"PDPK1",-0.0426633400793597
"ITPR3",-0.0418274248219975
"COG5",-0.0417402492393283
"SART3",-0.0417402492393283
"SDR39U1",-0.0417402492393283
"CXXC1",-0.0415053483691881
"ECE1",-0.0415053483691881
"FBRS",-0.0415053483691881
"ARMCX3",-0.0413229336818903
"NEDD4",-0.0413229336818903
"PANK2",-0.0413229336818903
"RASA1",-0.0413229336818903
"SLC7A6OS",-0.0413229336818903
"TCP11L1",-0.0413229336818903
"UCK1",-0.0413229336818903
"ZMAT2",-0.0412880531334126
"TMEM141",-0.0412331010145692
"SLC25A46",-0.040967862566815
"IFI35",-0.040943424596682
"CHD1L",-0.0407072043539733
"DDX60L",-0.0407072043539733
"FAM20C",-0.0407072043539733
"ACTR6",-0.0406267623243888
"CDK5",-0.0406267623243888
"CDR2L",-0.0406267623243888
"CELF2",-0.0406267623243888
"COLGALT1",-0.0406267623243888
"CRTC2",-0.0406267623243888
"CTDSPL2",-0.0406267623243888
"CTH",-0.0406267623243888
"DHCR24",-0.0406267623243888
"DHX33",-0.0406267623243888
"DOCK8",-0.0406267623243888
"DOPEY1",-0.0406267623243888
"DPF2",-0.0406267623243888
"ELL",-0.0406267623243888
"EMC3.AS1",-0.0406267623243888
"FAM173A",-0.0406267623243888
"GOLGA3",-0.0406267623243888
"GOLGA8B",-0.0406267623243888
"GRK6",-0.0406267623243888
"GTPBP1",-0.0406267623243888
"HMBOX1",-0.0406267623243888
"IGIP",-0.0406267623243888
"KCTD13",-0.0406267623243888
"LARGE1",-0.0406267623243888
"LCK",-0.0406267623243888
"MTERF2",-0.0406267623243888
"NUDCD3",-0.0406267623243888
"PLAGL2",-0.0406267623243888
"POMGNT1",-0.0406267623243888
"PRRG2",-0.0406267623243888
"RP11.104N10.2",-0.0406267623243888
"RP11.478C6.4",-0.0406267623243888
"SIN3B",-0.0406267623243888
"SMAD5",-0.0406267623243888
"SNHG11",-0.0406267623243888
"STRN3",-0.0406267623243888
"TACC1",-0.0406267623243888
"TMEM60",-0.0406267623243888
"TSPAN17",-0.0406267623243888
"VPS11",-0.0406267623243888
"ZNF189",-0.0406267623243888
"ZRANB1",-0.0406267623243888
"CLK3",-0.0405782699989031
"SEC24C",-0.0405782699989031
"GSDMD",-0.0405653768094491
"PRKAB2",-0.040461411549766
"NUP62",-0.0401729617047716
"ABTB1",-0.0395994634753417
"CENPT",-0.0395994634753417
"DUS3L",-0.0395994634753417
"FAM217B",-0.0395994634753417
"RNASEH2B",-0.0395994634753417
"SLC22A23",-0.0395994634753417
"STX5",-0.0395994634753417
"TMEM123",-0.0395390188444354
"TICAM1",-0.0394401344913732
"SEL1L",-0.0393628186864546
"CCDC107",-0.0392029894498129
"HEXA",-0.0392029894498129
"EML3",-0.0390776897935318
"MAP3K1",-0.0390776897935318
"MCM4",-0.0390776897935318
"POLG",-0.0390776897935318
"TAGAP",-0.0390776897935318
"TMEM97",-0.0390776897935318
"APOL2",-0.0390017718264908
"CCDC58",-0.0390017718264908
"PHF10",-0.0390017718264908
"TCF7L2",-0.0390017718264908
"UPF3A",-0.0390017718264908
"MITD1",-0.0386873221359467
"SDF2",-0.0386873221359467
"SBNO1",-0.0386829416248449
"ARID3B",-0.038280607478106
"ARID5B",-0.038280607478106
"C5",-0.038280607478106
"CASKIN2",-0.038280607478106
"CCDC14",-0.038280607478106
"CCNT1",-0.038280607478106
"CSTF2T",-0.038280607478106
"CTSL",-0.038280607478106
"DYNLT3",-0.038280607478106
"ELOVL5",-0.038280607478106
"FAM134C",-0.038280607478106
"FBXO4",-0.038280607478106
"FERMT3",-0.038280607478106
"HERC6",-0.038280607478106
"ITGAV",-0.038280607478106
"KANSL3",-0.038280607478106
"KIF1BP",-0.038280607478106
"KPTN",-0.038280607478106
"LRCH3",-0.038280607478106
"MAGEF1",-0.038280607478106
"MAML1",-0.038280607478106
"MOAP1",-0.038280607478106
"NUP35",-0.038280607478106
"PDE9A",-0.038280607478106
"POLK",-0.038280607478106
"POU2F1",-0.038280607478106
"PSME2P2",-0.038280607478106
"RBP1",-0.038280607478106
"RLIM",-0.038280607478106
"RP11.334A14.8",-0.038280607478106
"RP11.485M7.2",-0.038280607478106
"RPS6KC1",-0.038280607478106
"SENP7",-0.038280607478106
"SFXN5",-0.038280607478106
"SIMC1",-0.038280607478106
"SLC25A26",-0.038280607478106
"SLF1",-0.038280607478106
"SRP14.AS1",-0.038280607478106
"STAG3L2",-0.038280607478106
"TPP2",-0.038280607478106
"YTHDF1",-0.038280607478106
"ZNF562",-0.038280607478106
"XCL1",-0.0382748540281371
"CDK5RAP3",-0.0381419374262684
"ARL5A",-0.0379586873112613
"TPSB2",-0.0378698651159654
"SERPING1",-0.0378280475174857
"TPSAB1",-0.0375303915433441
"RNF4",-0.0374941645824281
"RPS13P2",-0.0374941645824281
"ALDH3B1",-0.037364650201859
"C2orf49",-0.037364650201859
"C2orf69",-0.037364650201859
"CDK13",-0.037364650201859
"MAP2K4",-0.037364650201859
"MFSD3",-0.037364650201859
"NASP",-0.037364650201859
"PISD",-0.037364650201859
"RNF40",-0.037364650201859
"RPA2",-0.037364650201859
"SERINC5",-0.037364650201859
"SLC25A16",-0.037364650201859
"SLC4A2",-0.037364650201859
"CAND1",-0.0373290650488066
"HBP1",-0.0373290650488066
"SIPA1L3",-0.0373290650488066
"GPATCH8",-0.0372951459980484
"IRF7",-0.0372951459980484
"CCDC50",-0.0372902731366132
"DUSP23",-0.0370135076904399
