"","gsm","gender"
"237","GSM2093102","male"
"238","GSM1539029","male"
"239","GSM2326892","female"
"240","GSM1466235","male"
"241","GSM1598708","female"
"242","GSM1539030","male"
"243","GSM1539046","female"
"244","GSM1962906","male"
"245","GSM1482939","male"
"246","GSM1962758","male"
"247","GSM1962614","male"
"248","GSM1962881","male"
"249","GSM1298126","female"
"250","GSM1962911","male"
"251","GSM2093249","male"
"252","GSM1962638","male"
"253","GSM1522518","male"
"254","GSM1962801","male"
"255","GSM1679720","male"
"256","GSM1962629","male"
"257","GSM1681941","male"
"258","GSM1281735","male"
"259","GSM1962515","male"
"260","GSM1679683","male"
"261","GSM1962464","male"
"262","GSM1962092","male"
"263","GSM2093187","male"
"264","GSM1522215","male"
"265","GSM1962585","male"
"266","GSM1679687","male"
"267","GSM1598675","male"
"268","GSM1598525","male"
"269","GSM1962093","male"
"270","GSM1695908","male"
"271","GSM1522415","male"
"272","GSM1522407","male"
"273","GSM1522432","female"
"274","GSM1522307","female"
"275","GSM1962602","male"
"276","GSM1647936","female"
"277","GSM1962429","male"
"278","GSM1962101","male"
"279","GSM1539040","female"
"280","GSM1522327","male"
"281","GSM1298136","male"
"282","GSM1489580","male"
"283","GSM1681950","male"
"284","GSM1539049","female"
"285","GSM1539036","female"
"286","GSM1409702","male"
"287","GSM1333394","female"
"288","GSM1900344","female"
"289","GSM1537306","female"
"290","GSM1962442","male"
"291","GSM1648837","male"
"292","GSM1598568","female"
"293","GSM1522367","female"
"294","GSM1962128","male"
"295","GSM1598519","female"
"296","GSM1259115","male"
"297","GSM1962632","male"
"298","GSM2268377","female"
"299","GSM1962710","male"
"300","GSM1598410","female"
"301","GSM2093073","female"
"302","GSM1598631","male"
"303","GSM1598714","male"
"304","GSM2072628","male"
"305","GSM1539041","female"
"306","GSM1354575","female"
"307","GSM1962132","male"
"308","GSM1962337","male"
"309","GSM1489572","female"
"310","GSM1598682","female"
"311","GSM1522261","male"
"312","GSM1681963","female"
"313","GSM1598668","male"
"314","GSM1559442","female"
"315","GSM1298114","female"
"316","GSM1679678","male"
"317","GSM1522336","male"
"318","GSM1522511","female"
"319","GSM1539011","male"
"320","GSM1962471","male"
"321","GSM1962320","male"
"322","GSM1962149","male"
"323","GSM1505834","male"
"324","GSM1888333","female"
"325","GSM1598531","female"
"326","GSM1539031","female"
"327","GSM1519571","female"
"328","GSM2093138","male"
"329","GSM1648812","male"
"330","GSM1598558","female"
"331","GSM1354572","female"
"332","GSM1522436","female"
"333","GSM1962467","male"
"334","GSM1962630","male"
"335","GSM1489571","female"
"336","GSM1598654","female"
"337","GSM1522389","male"
"338","GSM1522362","female"
"339","GSM1466240","male"
"340","GSM1333386","female"
"341","GSM2100876","male"
"342","GSM1679675","male"
"343","GSM1489624","female"
"344","GSM1598685","male"
"345","GSM1522388","female"
"346","GSM1522363","male"
"347","GSM1482949","female"
"348","GSM1539042","female"
"349","GSM2093171","female"
"350","GSM1522306","male"
"351","GSM2268464","female"
"352","GSM1354563","female"
"353","GSM1962247","male"
"354","GSM1593778","male"
"355","GSM1962163","male"
"356","GSM2268456","female"
"357","GSM1962944","male"
"358","GSM1900353","female"
"359","GSM2326900","male"
"360","GSM2092955","female"
"361","GSM1505852","male"
"362","GSM1522480","male"
"363","GSM1432836","female"
"364","GSM1679672","male"
"365","GSM1522443","female"
"366","GSM1888338","female"
"367","GSM1593804","male"
"368","GSM1538999","male"
"369","GSM1962526","male"
"370","GSM2268463","female"
"371","GSM1962575","male"
"372","GSM1522506","female"
"373","GSM2268443","female"
"374","GSM1598575","male"
"375","GSM1941671","male"
"376","GSM1539035","female"
"377","GSM1962134","male"
"378","GSM1409688","male"
"379","GSM1598596","female"
"380","GSM1267270","male"
"381","GSM1962402","male"
"382","GSM1665183","female"
"383","GSM1962576","male"
"384","GSM1539050","female"
"385","GSM1598442","male"
"386","GSM2268396","female"
"387","GSM1598469","male"
"388","GSM2326901","female"
"389","GSM1962940","male"
"390","GSM2124749","male"
"391","GSM1900347","female"
"392","GSM1522405","female"
"393","GSM2092918","female"
"394","GSM1539043","male"
"395","GSM2093024","female"
"396","GSM1962802","male"
"397","GSM1522466","female"
"398","GSM1962361","male"
"399","GSM2100869","male"
"400","GSM1505847","male"
"401","GSM1354852","female"
"402","GSM2093248","female"
"403","GSM1409705","male"
"404","GSM1888330","male"
"405","GSM1962377","male"
"406","GSM1312734","male"
"407","GSM1338142","male"
"408","GSM1647959","male"
"409","GSM1539038","male"
"410","GSM1522514","male"
"411","GSM1354855","female"
"412","GSM1962667","male"
"413","GSM1962549","male"
"414","GSM1593808","male"
"415","GSM1648860","male"
"416","GSM1900330","female"
"417","GSM1539048","male"
"418","GSM1962387","male"
"419","GSM1432826","male"
"420","GSM1523493","female"
"421","GSM1962810","male"
"422","GSM1539032","female"
"423","GSM1354856","female"
"424","GSM2092913","female"
"425","GSM1598609","female"
"426","GSM1598639","male"
"427","GSM1679666","male"
"428","GSM2124756","male"
"429","GSM1962245","male"
"430","GSM1598595","female"
"431","GSM1962499","male"
"432","GSM1543547","female"
"433","GSM1681926","male"
"434","GSM2268364","female"
"435","GSM1962846","male"
"436","GSM1962104","male"
"437","GSM1962691","male"
"438","GSM1962293","male"
"439","GSM2093125","female"
"440","GSM1962690","male"
"441","GSM1962804","male"
"442","GSM1522221","male"
"443","GSM1522401","male"
"444","GSM1647926","female"
"445","GSM1522490","male"
"446","GSM1647934","female"
"447","GSM1962470","male"
"448","GSM1547782","male"
"449","GSM1522285","male"
"450","GSM1681958","male"
"451","GSM1962229","male"
"452","GSM1539044","male"
"453","GSM1962486","male"
"454","GSM1648817","male"
"455","GSM1522478","male"
"456","GSM2092987","female"
"457","GSM1522244","male"
"458","GSM1259109","male"
"459","GSM1598448","male"
"460","GSM2093084","female"
"461","GSM1872872","female"
"462","GSM1432816","male"
"463","GSM1489559","male"
"464","GSM1522312","male"
"465","GSM1519563","female"
"466","GSM1962497","male"
"467","GSM1962556","male"
"468","GSM1962199","male"
"469","GSM1281862","male"
"470","GSM1665195","female"
"471","GSM1281729","male"
"472","GSM2268452","female"
"473","GSM1489610","male"
"474","GSM1962304","male"
"475","GSM1281737","male"
"476","GSM2268375","female"
"477","GSM2124765","male"
"478","GSM1962672","male"
"479","GSM1598429","female"
"480","GSM1522295","female"
"481","GSM1598603","female"
"482","GSM2093219","male"
"483","GSM1962206","male"
"484","GSM1679664","male"
"485","GSM1962884","male"
"486","GSM2157545","male"
"487","GSM2026522","female"
"488","GSM1552807","male"
"489","GSM1647956","male"
"490","GSM1962869","male"
"491","GSM2093239","male"
"492","GSM1539037","male"
"493","GSM1558076","male"
"494","GSM1962934","male"
"495","GSM1505843","female"
"496","GSM1259106","male"
"497","GSM1872880","female"
"498","GSM2092938","male"
"499","GSM1962648","male"
"500","GSM1558067","male"
"501","GSM1962266","male"
"502","GSM2268439","female"
"503","GSM1884741","female"
"504","GSM2268361","female"
"505","GSM1539051","male"
"506","GSM1648843","male"
"507","GSM1466236","male"
"508","GSM1679651","male"
"509","GSM2093203","female"
"510","GSM1519568","female"
"511","GSM1962144","male"
"512","GSM2036537","male"
"513","GSM2268421","female"
"514","GSM2100898","female"
"515","GSM1522403","male"
"516","GSM1267256","male"
"517","GSM1962263","male"
"518","GSM1522503","female"
"519","GSM1962754","male"
"520","GSM1522408","male"
"521","GSM1598492","female"
"522","GSM2268362","female"
"523","GSM1962492","male"
"524","GSM2092946","male"
"525","GSM1598554","male"
"526","GSM1505857","male"
"527","GSM1552812","female"
"528","GSM1647938","female"
"529","GSM1333400","female"
"530","GSM1962319","male"
"531","GSM2268404","female"
"532","GSM1888329","male"
"533","GSM1962407","male"
"534","GSM1962495","male"
"535","GSM1522308","male"
"536","GSM1681962","female"
"537","GSM1648883","male"
"538","GSM1962654","male"
"539","GSM2093243","female"
"540","GSM1522239","female"
"541","GSM1519566","female"
"542","GSM1522315","male"
"543","GSM2100863","male"
"544","GSM1281756","male"
"545","GSM1489591","female"
"546","GSM2093236","male"
"547","GSM1679699","male"
"548","GSM1522455","female"
"549","GSM1962185","male"
"550","GSM1962281","male"
"551","GSM1681955","female"
"552","GSM1505841","male"
"553","GSM1962525","male"
"554","GSM2093257","female"
"555","GSM1598614","male"
"556","GSM1962803","male"
"557","GSM1872882","female"
"558","GSM1539034","female"
"559","GSM1648868","male"
"560","GSM2036532","male"
"561","GSM1539026","male"
"562","GSM1648872","male"
"563","GSM1962460","male"
"564","GSM1900333","female"
"565","GSM1900342","female"
"566","GSM2326904","male"
"567","GSM1962089","male"
"568","GSM1598727","female"
"569","GSM2326913","male"
"570","GSM1962424","male"
"571","GSM2092935","female"
"572","GSM1962751","male"
"573","GSM2100867","male"
"574","GSM1598435","female"
"575","GSM2268380","female"
"576","GSM1333385","female"
"577","GSM1962239","male"
"578","GSM1519562","female"
"579","GSM1884733","female"
"580","GSM1493976","female"
"581","GSM1522329","female"
"582","GSM2093195","male"
"583","GSM1489623","female"
"584","GSM1648820","male"
"585","GSM2326915","male"
"586","GSM1962741","male"
"587","GSM1962925","male"
"588","GSM1522513","male"
"589","GSM1598545","female"
"590","GSM1648826","male"
"591","GSM1900346","female"
"592","GSM1962242","male"
"593","GSM1333404","male"
"594","GSM1962877","male"
"595","GSM1350442","female"
"596","GSM2093058","male"
"597","GSM1522299","male"
"598","GSM1598633","female"
"599","GSM1872843","female"
"600","GSM1539023","male"
"601","GSM1558074","male"
"602","GSM1539039","female"
"603","GSM2072629","male"
"604","GSM1962315","male"
"605","GSM1679680","male"
"606","GSM1648814","male"
"607","GSM1593796","male"
"608","GSM2268389","female"
"609","GSM1558072","male"
"610","GSM1489618","male"
"611","GSM1962555","male"
"612","GSM2326912","female"
"613","GSM1598674","female"
"614","GSM2100885","female"
"615","GSM1962541","male"
"616","GSM1598709","male"
"617","GSM2093043","female"
"618","GSM1537304","female"
"619","GSM1900351","female"
"620","GSM2093148","female"
"621","GSM2026538","male"
"622","GSM1482945","female"
"623","GSM2157543","male"
"624","GSM2268435","female"
"625","GSM2093246","female"
"626","GSM2093150","male"
"627","GSM1267257","male"
"628","GSM1962246","male"
"629","GSM1962783","male"
"630","GSM1962173","male"
"631","GSM1679702","male"
"632","GSM1489602","female"
"633","GSM1962727","male"
"634","GSM2124757","female"
"635","GSM1539033","female"
"636","GSM2093238","male"
"637","GSM1962204","male"
"638","GSM1962177","male"
"639","GSM1962674","male"
"640","GSM1482947","female"
"641","GSM2092982","female"
"642","GSM1522471","female"
"643","GSM1648813","male"
"644","GSM1872841","female"
"645","GSM2093136","female"
"646","GSM1962252","male"
"647","GSM2036322","male"
"648","GSM1962155","male"
"649","GSM1900343","female"
"650","GSM1962373","male"
"651","GSM1354848","female"
"652","GSM1505828","female"
"653","GSM1962166","male"
"654","GSM2093253","female"
"655","GSM2093201","female"
"656","GSM1962709","male"
"657","GSM1505851","female"
"658","GSM1962688","male"
"659","GSM1482951","male"
"660","GSM1962657","male"
"661","GSM1598602","male"
"662","GSM1681936","female"
"663","GSM1962858","male"
"664","GSM1962248","male"
"665","GSM1962769","male"
"666","GSM1523490","male"
"667","GSM2268423","female"
"668","GSM1900345","female"
"669","GSM1312707","female"
"670","GSM2268370","female"
"671","GSM1522316","male"
"672","GSM1962874","male"
"673","GSM1598591","male"
"674","GSM1872856","female"
"675","GSM1962425","male"
"676","GSM1598494","female"
"677","GSM1962670","male"
"678","GSM1539000","female"
"679","GSM1505848","male"
"680","GSM2093037","female"
"681","GSM2026541","male"
"682","GSM1409697","female"
"683","GSM1522382","female"
"684","GSM1962459","male"
"685","GSM1598527","male"
"686","GSM1505824","male"
"687","GSM1962181","male"
"688","GSM1962702","male"
"689","GSM1409694","female"
"690","GSM1466230","male"
"691","GSM2093001","female"
"692","GSM1962749","male"
"693","GSM1522379","male"
"694","GSM1489586","female"
"695","GSM1884754","female"
"696","GSM2268350","female"
"697","GSM1962379","male"
"698","GSM2268394","female"
"699","GSM2092930","male"
"700","GSM1665198","male"
"701","GSM1962836","male"
"702","GSM1598495","female"
"703","GSM1962183","male"
"704","GSM1962476","male"
"705","GSM1962918","male"
"706","GSM2072622","female"
"707","GSM2092912","female"
"708","GSM1558061","male"
"709","GSM1962297","male"
"710","GSM1900331","female"
"711","GSM1333397","male"
"712","GSM1522247","female"
"713","GSM1519560","female"
"714","GSM1962513","male"
"715","GSM1432831","female"
"716","GSM1648871","male"
"717","GSM1962551","male"
"718","GSM1522425","male"
"719","GSM2092909","female"
"720","GSM1962887","male"
"721","GSM1543544","male"
"722","GSM1962423","male"
"723","GSM2093063","female"
"724","GSM2326891","male"
"725","GSM2093045","female"
"726","GSM1354851","female"
"727","GSM1552808","male"
"728","GSM1522445","male"
"729","GSM1679671","male"
"730","GSM1558068","male"
"731","GSM1598440","male"
"732","GSM1598722","female"
"733","GSM1962704","male"
"734","GSM1962357","male"
"735","GSM1505826","female"
"736","GSM1281721","female"
"737","GSM2092968","female"
"738","GSM2092967","female"
"739","GSM1648870","male"
"740","GSM1962328","male"
"741","GSM1598725","female"
"742","GSM2124751","female"
"743","GSM1962591","male"
"744","GSM1522310","male"
"745","GSM1962258","male"
"746","GSM1962365","male"
"747","GSM2093026","female"
"748","GSM2268403","female"
"749","GSM1259112","male"
"750","GSM1962405","male"
"751","GSM2093213","male"
"752","GSM1962417","male"
"753","GSM1962261","male"
"754","GSM1519567","female"
"755","GSM1598608","female"
"756","GSM1432813","female"
"757","GSM2093011","female"
"758","GSM1598622","male"
"759","GSM1681932","male"
"760","GSM1648862","male"
"761","GSM1598420","male"
"762","GSM1962666","male"
"763","GSM1522323","female"
"764","GSM1489619","male"
"765","GSM1962762","male"
"766","GSM1962886","male"
"767","GSM1312727","male"
"768","GSM1679694","male"
"769","GSM1522417","female"
"770","GSM1962675","male"
"771","GSM2072633","female"
"772","GSM1962123","male"
"773","GSM1598409","male"
"774","GSM2092981","female"
"775","GSM1539019","female"
"776","GSM1522326","female"
"777","GSM1333408","female"
"778","GSM1962938","male"
"779","GSM1962137","male"
"780","GSM1962288","male"
"781","GSM1348875","female"
"782","GSM2124738","male"
"783","GSM1598488","male"
"784","GSM1962311","male"
"785","GSM1522213","female"
"786","GSM1598535","female"
"787","GSM1482962","male"
"788","GSM1522406","female"
"789","GSM1333378","male"
"790","GSM2093167","male"
"791","GSM2093034","female"
"792","GSM2100880","male"
"793","GSM2093035","female"
"794","GSM2093154","female"
"795","GSM1522465","male"
"796","GSM2092949","female"
"797","GSM1281831","male"
"798","GSM1598721","male"
"799","GSM2268366","female"
"800","GSM2093230","male"
"801","GSM1354577","female"
"802","GSM1962971","male"
"803","GSM2093242","female"
"804","GSM1648818","male"
"805","GSM1354849","female"
"806","GSM1598692","female"
"807","GSM1681948","female"
"808","GSM1962138","male"
"809","GSM1598630","female"
"810","GSM2100862","female"
"811","GSM1962522","male"
"812","GSM1598461","male"
"813","GSM1962829","male"
"814","GSM1598576","male"
"815","GSM1539015","female"
"816","GSM2093022","female"
"817","GSM2093016","male"
"818","GSM1281888","male"
"819","GSM2093188","male"
"820","GSM1522387","male"
"821","GSM1522496","female"
"822","GSM1962832","male"
"823","GSM1962345","male"
"824","GSM1962353","male"
"825","GSM2036523","male"
"826","GSM1962187","male"
"827","GSM1679679","male"
"828","GSM2268426","female"
"829","GSM1522492","female"
"830","GSM1962827","male"
"831","GSM1598536","male"
"832","GSM2100883","female"
"833","GSM1482932","female"
"834","GSM1681969","male"
"835","GSM2092999","female"
"836","GSM1522220","male"
"837","GSM1962501","male"
"838","GSM1539018","female"
"839","GSM2326907","female"
"840","GSM1962489","male"
"841","GSM1962908","male"
"842","GSM1962255","male"
"843","GSM1962164","male"
"844","GSM1598565","female"
"845","GSM1489574","female"
"846","GSM1281758","male"
"847","GSM1647948","male"
"848","GSM1598437","male"
"849","GSM1333379","male"
"850","GSM1962659","male"
"851","GSM2093105","female"
"852","GSM1962292","male"
"853","GSM1522214","male"
"854","GSM2326905","male"
"855","GSM1726428","male"
"856","GSM1505829","male"
"857","GSM2268379","female"
"858","GSM2268373","female"
"859","GSM1962879","male"
"860","GSM1543546","female"
"861","GSM2092969","female"
"862","GSM1962472","male"
"863","GSM2093093","male"
"864","GSM1872829","female"
"865","GSM1498836","male"
"866","GSM1962445","male"
"867","GSM1648851","male"
"868","GSM2157542","male"
"869","GSM1522431","female"
"870","GSM1415128","male"
"871","GSM1523489","female"
"872","GSM1962510","male"
"873","GSM2093087","female"
"874","GSM1267268","male"
"875","GSM1522473","female"
"876","GSM2093002","female"
"877","GSM1679696","male"
"878","GSM1539047","female"
"879","GSM2092991","female"
"880","GSM1888328","female"
"881","GSM1695909","male"
"882","GSM1962184","male"
"883","GSM2092925","female"
"884","GSM1598487","male"
"885","GSM1505854","male"
"886","GSM1466233","male"
"887","GSM1962606","male"
"888","GSM2092970","female"
"889","GSM1522516","male"
"890","GSM1281798","male"
"891","GSM1962814","male"
"892","GSM1962739","male"
"893","GSM1409690","female"
"894","GSM1298112","male"
"895","GSM1598724","male"
"896","GSM2100866","male"
"897","GSM2326902","female"
"898","GSM1598529","female"
"899","GSM1312705","male"
"900","GSM1598522","female"
"901","GSM2092979","female"
"902","GSM2268357","female"
"903","GSM1538995","female"
"904","GSM1962768","male"
"905","GSM2092961","female"
"906","GSM2268430","female"
"907","GSM1354858","female"
"908","GSM1962563","male"
"909","GSM1598586","male"
"910","GSM1522303","female"
"911","GSM1598526","male"
"912","GSM1872883","female"
"913","GSM1505819","male"
"914","GSM1679690","male"
"915","GSM1962395","male"
"916","GSM1432819","male"
"917","GSM1681945","male"
"918","GSM1962544","male"
"919","GSM1598513","female"
"920","GSM1962577","male"
"921","GSM1962665","male"
"922","GSM1962363","male"
"923","GSM1831732","female"
"924","GSM1962332","male"
"925","GSM1432822","male"
"926","GSM1679686","male"
"927","GSM2092926","female"
"928","GSM1872862","female"
"929","GSM1538996","female"
"930","GSM2093133","female"
"931","GSM1962426","male"
"932","GSM1354580","female"
"933","GSM1962946","male"
"934","GSM1962626","male"
"935","GSM2093207","female"
"936","GSM1962809","male"
"937","GSM1962967","male"
"938","GSM1298125","female"
"939","GSM1598422","male"
"940","GSM1962713","male"
"941","GSM1598712","male"
"942","GSM1962579","male"
"943","GSM1872855","female"
"944","GSM2093186","male"
"945","GSM1598705","male"
"946","GSM2268351","female"
"947","GSM1354857","female"
"948","GSM1962883","male"
"949","GSM2124764","female"
"950","GSM1522293","male"
"951","GSM1598478","male"
"952","GSM1962225","male"
"953","GSM1962331","male"
"954","GSM1522509","male"
"955","GSM1962161","male"
"956","GSM1962812","male"
"957","GSM1522500","female"
"958","GSM2072625","female"
"959","GSM2326887","female"
"960","GSM1962611","male"
"961","GSM1505856","male"
"962","GSM1354841","female"
"963","GSM1505833","male"
"964","GSM1482938","female"
"965","GSM2093231","female"
"966","GSM1962302","male"
"967","GSM1962103","male"
"968","GSM2093189","male"
"969","GSM1962090","male"
"970","GSM1962646","male"
"971","GSM1489593","female"
"972","GSM1962380","male"
"973","GSM1482954","female"
"974","GSM1962186","male"
"975","GSM1962645","male"
"976","GSM1962318","male"
"977","GSM2268391","female"
"978","GSM1962929","male"
"979","GSM2268348","female"
"980","GSM1338132","male"
"981","GSM1648864","male"
"982","GSM1522287","male"
"983","GSM1962777","male"
"984","GSM1679708","male"
"985","GSM1962643","male"
"986","GSM1962243","male"
"987","GSM2093216","female"
"988","GSM1962145","male"
"989","GSM1695910","male"
"990","GSM1962346","male"
"991","GSM1432824","female"
"992","GSM1522479","male"
"993","GSM1681928","female"
"994","GSM1522226","female"
"995","GSM1872846","female"
"996","GSM1281728","male"
"997","GSM2100877","female"
"998","GSM1962799","male"
"999","GSM1679676","male"
"1000","GSM1415144","male"
"1001","GSM2268420","female"
"1002","GSM1962794","male"
"1003","GSM1538998","male"
"1004","GSM2268340","female"
"1005","GSM2268397","female"
"1006","GSM1648882","male"
"1007","GSM2093256","female"
"1008","GSM1962948","male"
"1009","GSM1872837","female"
"1010","GSM2093050","female"
"1011","GSM1489606","female"
"1012","GSM1281883","male"
"1013","GSM1598613","female"
"1014","GSM1681960","male"
"1015","GSM1505853","male"
"1016","GSM1482944","female"
"1017","GSM1622384","female"
"1018","GSM1962168","male"
"1019","GSM1593806","male"
"1020","GSM2268371","female"
"1021","GSM1489612","male"
"1022","GSM1598713","female"
"1023","GSM1962466","male"
"1024","GSM1598467","male"
"1025","GSM1681939","male"
"1026","GSM1962265","male"
"1027","GSM1522354","male"
"1028","GSM1598584","male"
"1029","GSM1312711","female"
"1030","GSM1598482","male"
"1031","GSM1648876","male"
"1032","GSM1962584","male"
"1033","GSM1962543","male"
"1034","GSM2092923","female"
"1035","GSM1962859","male"
"1036","GSM1432818","female"
"1037","GSM1598430","female"
"1038","GSM1962235","male"
"1039","GSM1598481","female"
"1040","GSM2268419","female"
"1041","GSM1259111","male"
"1042","GSM2092993","female"
"1043","GSM1962671","male"
"1044","GSM2093197","female"
"1045","GSM2092948","female"
"1046","GSM1482961","male"
"1047","GSM1312735","female"
"1048","GSM1505832","male"
"1049","GSM2036321","male"
"1050","GSM1681970","male"
"1051","GSM1259114","male"
"1052","GSM1312745","male"
"1053","GSM1648838","male"
"1054","GSM1598506","female"
"1055","GSM1354579","female"
"1056","GSM1522281","female"
"1057","GSM1647944","female"
"1058","GSM2268429","female"
"1059","GSM2093075","female"
"1060","GSM1962912","male"
"1061","GSM1598559","male"
"1062","GSM1522482","male"
"1063","GSM1489575","female"
"1064","GSM1593780","male"
"1065","GSM1648859","male"
"1066","GSM1962969","male"
"1067","GSM1598585","male"
"1068","GSM1482957","male"
"1069","GSM1962347","male"
"1070","GSM1648858","male"
