"","gsm","gender"
"1","GSM1241385","male"
"2","GSM1216828","male"
"3","GSM1216812","male"
"4","GSM1204878","male"
"5","GSM1216772","female"
"6","GSM1220861","female"
"7","GSM1216783","male"
"8","GSM1132728","male"
"9","GSM1241380","male"
"10","GSM1173803","male"
"11","GSM1196058","male"
"12","GSM1250464","male"
"13","GSM1216764","male"
"14","GSM1241370","male"
"15","GSM1216840","male"
"16","GSM1173807","male"
"17","GSM1216794","female"
"18","GSM1216798","male"
"19","GSM1131541","female"
"20","GSM1216759","male"
"21","GSM1250466","male"
"22","GSM1173806","male"
"23","GSM1216789","female"
"24","GSM1204876","female"
"25","GSM1216805","female"
"26","GSM1216791","male"
"27","GSM1250468","female"
"28","GSM1132750","male"
"29","GSM1196044","female"
"30","GSM1250458","male"
"31","GSM1216795","female"
"32","GSM1216780","male"
"33","GSM1131197","male"
"34","GSM1180723","male"
"35","GSM1131193","male"
"36","GSM1216760","male"
"37","GSM1241374","female"
"38","GSM1208971","male"
"39","GSM1216774","female"
"40","GSM1216808","male"
"41","GSM1216834","male"
"42","GSM1163071","male"
"43","GSM1216803","female"
"44","GSM1131192","male"
"45","GSM1173808","female"
"46","GSM1131155","female"
"47","GSM1216810","female"
"48","GSM1204880","female"
"49","GSM1173802","male"
"50","GSM1241377","male"
"51","GSM1216833","male"
"52","GSM1220863","male"
"53","GSM1216778","female"
"54","GSM1241382","male"
"55","GSM1216802","female"
"56","GSM1216787","male"
"57","GSM1241354","male"
"58","GSM1131195","male"
"59","GSM1216801","male"
"60","GSM1180728","female"
"61","GSM996198","male"
"62","GSM1241387","male"
"63","GSM1180720","female"
"64","GSM1216792","female"
"65","GSM1216786","male"
"66","GSM1131543","female"
"67","GSM1220860","female"
"68","GSM1241353","female"
"69","GSM1216800","female"
"70","GSM1216807","female"
"71","GSM1250469","female"
"72","GSM1216758","male"
"73","GSM1216804","male"
"74","GSM1241371","male"
"75","GSM1173804","male"
"76","GSM1204879","female"
"77","GSM1216813","female"
"78","GSM1241373","male"
"79","GSM1250462","male"
"80","GSM1216838","male"
"81","GSM1216836","male"
"82","GSM1216824","male"
"83","GSM1250473","male"
"84","GSM1250467","male"
"85","GSM1216765","male"
"86","GSM1216818","male"
"87","GSM1241386","male"
"88","GSM1216826","female"
"89","GSM1250463","male"
"90","GSM1131539","female"
"91","GSM1216793","male"
"92","GSM1208972","male"
"93","GSM1216819","male"
"94","GSM1241356","male"
"95","GSM978970","male"
"96","GSM1163070","male"
"97","GSM1216754","male"
"98","GSM1131552","male"
"99","GSM1250456","male"
"100","GSM1216773","female"
"101","GSM1216769","male"
"102","GSM1131545","male"
"103","GSM1163072","male"
"104","GSM1131549","female"
"105","GSM1196045","female"
"106","GSM1216768","male"
"107","GSM1204877","male"
"108","GSM1241366","male"
"109","GSM996200","male"
"110","GSM1180727","female"
"111","GSM978969","male"
"112","GSM1216815","male"
"113","GSM1216790","female"
"114","GSM1250472","male"
"115","GSM1131156","female"
"116","GSM1131746","female"
"117","GSM1241357","male"
"118","GSM1250460","male"
"119","GSM1131747","male"
"120","GSM1216755","female"
"121","GSM1131194","male"
"122","GSM1250455","male"
"123","GSM1216770","female"
"124","GSM1180724","female"
"125","GSM1250457","male"
"126","GSM1250452","male"
"127","GSM1250470","female"
"128","GSM1216766","male"
"129","GSM1216785","male"
"130","GSM1241368","female"
"131","GSM1216839","male"
"132","GSM1131538","male"
"133","GSM1241378","male"
"134","GSM1216753","male"
"135","GSM1216830","male"
"136","GSM1173805","male"
"137","GSM1241367","female"
"138","GSM1250453","male"
"139","GSM1131743","female"
"140","GSM1241375","female"
"141","GSM1241369","male"
"142","GSM1216762","female"
"143","GSM1208970","male"
"144","GSM1180726","female"
"145","GSM1131542","male"
"146","GSM996201","male"
"147","GSM996197","male"
"148","GSM1132717","male"
"149","GSM996199","male"
"150","GSM1216837","male"
"151","GSM1241372","male"
"152","GSM1208968","female"
"153","GSM1216799","male"
"154","GSM1216784","female"
"155","GSM1216771","male"
"156","GSM1186811","female"
"157","GSM1220859","female"
"158","GSM1216781","female"
"159","GSM1241361","female"
"160","GSM1204881","female"
"161","GSM1216757","female"
"162","GSM1216811","male"
"163","GSM1216767","male"
"164","GSM1220864","male"
"165","GSM1216841","male"
"166","GSM1250461","male"
"167","GSM1216822","female"
"168","GSM1216806","male"
"169","GSM1216777","male"
"170","GSM1131744","female"
"171","GSM1250471","female"
"172","GSM1216775","female"
"173","GSM1250459","male"
"174","GSM1241362","female"
"175","GSM1216797","male"
"176","GSM1216782","male"
"177","GSM1250465","male"
"178","GSM1241358","male"
"179","GSM1241381","female"
"180","GSM1250474","male"
"181","GSM1241383","male"
"182","GSM1216776","male"
"183","GSM1131196","male"
"184","GSM1131550","female"
"185","GSM1216831","male"
"186","GSM1186812","female"
"187","GSM1131547","female"
"188","GSM1241360","female"
"189","GSM1216820","male"
"190","GSM1216761","male"
"191","GSM1241351","male"
"192","GSM1241359","male"
"193","GSM1131548","male"
"194","GSM1131546","female"
"195","GSM1216788","female"
"196","GSM1216825","female"
"197","GSM1216823","female"
"198","GSM1241376","male"
"199","GSM1241355","male"
"200","GSM1216835","male"
"201","GSM1216821","male"
"202","GSM1196043","male"
"203","GSM1180719","female"
"204","GSM1216763","female"
"205","GSM1208969","female"
"206","GSM1241364","female"
"207","GSM1250454","male"
"208","GSM1216816","male"
"209","GSM1241363","male"
"210","GSM1216827","male"
"211","GSM1241379","female"
"212","GSM1220862","female"
"213","GSM1216814","female"
"214","GSM1241384","male"
"215","GSM1180725","male"
"216","GSM1131544","female"
"217","GSM1216779","male"
"218","GSM1241365","male"
"219","GSM1216809","female"
"220","GSM1131540","female"
"221","GSM1216756","female"
"222","GSM1180717","male"
"223","GSM1216832","female"
"224","GSM1241352","female"
"225","GSM1250475","male"
"226","GSM1131745","female"
"227","GSM1131551","male"
"228","GSM1216817","male"
"229","GSM1216829","female"
"230","GSM1132746","female"
"231","GSM996202","male"
"232","GSM1132747","female"
"233","GSM1241350","male"
"234","GSM1216796","female"
"235","GSM2093108","female"
"236","GSM1522284","male"
