sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
GTEX.1117F.0226.SM.5GZZ7,female,normal,Adipose Tissue,60-100,NA,0.179834898,1.343742124,2.563442611,0.895205205,1.812832009,1.301635795,2.208079602
GTEX.1117F.0426.SM.5EGHI,female,normal,Muscle,60-100,NA,0.140789753,1.108838974,1.044803994,0.635810117,0.833733725,0.280952382,0.223625449
GTEX.1117F.0526.SM.5EGHJ,female,normal,Blood Vessel,60-100,NA,0.185324201,1.234462861,1.138835177,0.74989142,1.755028326,1.738712691,0.554049187
GTEX.1117F.0626.SM.5N9CS,female,normal,Blood Vessel,60-100,NA,1.925469089,1.804856265,2.174451319,0.610329099,1.817493568,2.016178282,0.188936113
GTEX.1117F.0726.SM.5GIEN,female,normal,Heart,60-100,heart,1.990949726,1.008587144,2.012700346,0.301696599,0.981184678,1.111900259,0.190541202
GTEX.1117F.1326.SM.5EGHH,female,normal,Adipose Tissue,60-100,NA,1.456154064,1.232713498,2.252780871,0.582053793,0.91319965,0.771132413,0.181576708
GTEX.111CU.1026.SM.5EGIL,male,normal,Adipose Tissue,20-59,NA,1.987901937,0.903028706,2.001870964,1.11376534,1.606613523,0.358487555,0.188714866
GTEX.1117F.2426.SM.5EGGH,female,normal,Uterus,60-100,NA,0.444460779,3.246379053,2.279280555,2.235153208,2.654724209,3.346548636,0.519501521
GTEX.1117F.2826.SM.5GZXL,female,normal,Breast,60-100,NA,1.578286975,1.758532274,2.069619812,0.737056953,1.645128867,1.373613414,2.04604996
GTEX.1117F.3026.SM.5GZYU,female,normal,Salivary Gland,60-100,NA,1.115682688,1.290056447,2.414044984,1.061916237,1.280156645,0.738537493,2.903875717
GTEX.1117F.3226.SM.5N9CT,female,normal,Brain,60-100,brain,0.224475647,0.259615228,1.936387304,0.242239173,0.37198431,0.592505238,0.168845152
GTEX.111CU.0126.SM.5GZWZ,male,normal,Adrenal Gland,20-59,NA,0.362363504,0.947074091,2.629720561,2.093412905,1.038142191,0.745422866,0.314547065
GTEX.111CU.0226.SM.5GZXC,male,normal,Thyroid,20-59,NA,1.606950479,1.202152847,2.313879396,0.788401941,1.392841352,0.649549024,3.171492325
GTEX.111CU.0326.SM.5GZXO,male,normal,Lung,20-59,lung,0.740428611,1.281452719,2.404876442,0.752615341,1.589314654,0.481658698,2.833532853
GTEX.111CU.0526.SM.5EGHK,male,normal,Pancreas,20-59,pancreas,0.840329262,0.390438663,1.099811709,0.329228562,0.668438325,0.091680245,2.735781557
GTEX.111CU.0626.SM.5EGHL,male,normal,Esophagus,20-59,NA,1.096053472,0.6069688,1.760958879,0.383893514,1.134799482,1.493296284,0.343859198
GTEX.111CU.0726.SM.5GZYD,male,normal,Esophagus,20-59,NA,1.619264709,0.382963345,1.756198214,0.728553686,1.3298886,0.311122341,2.790230873
GTEX.111CU.0926.SM.5EGIK,male,normal,Stomach,20-59,NA,0.266984585,0.314511901,1.426987214,0.359376579,0.866518183,0.105267866,3.081642559
GTEX.113IC.0226.SM.5HL5C,male,normal,Adipose Tissue,60-100,NA,0.159687992,1.79489946,2.983189576,1.132117187,2.28682094,1.575381293,0.109403901
GTEX.111CU.1126.SM.5EGIM,male,normal,Skin,20-59,skin,0.484709759,0.537151172,1.727573107,0.923143082,1.503500215,0.194043277,1.365623865
GTEX.111CU.1226.SM.5EGIN,male,normal,Colon,20-59,colon,0.851270475,0.582799076,2.170676604,0.358182747,1.733964642,1.449651107,1.624480383
GTEX.111CU.1326.SM.5NQ8L,male,normal,Small Intestine,20-59,small intestine,2.514705743,0.966163721,2.70650393,1.055745648,1.510656314,1.121328505,2.429739657
GTEX.111CU.1426.SM.5GZYP,male,normal,Colon,20-59,colon,2.378641348,0.24976677,1.883995612,0.597258657,0.367499851,0.154253363,3.503151646
GTEX.111CU.1526.SM.5N9FS,male,normal,Prostate,20-59,prostate,0.473469946,1.586331578,2.024650707,1.036992908,2.358279222,1.527636512,3.149292451
GTEX.111CU.1726.SM.5EGHM,male,normal,Testis,20-59,testis,2.745901181,1.523558089,3.352099078,2.158806256,1.867767028,1.88928863,1.573877567
GTEX.111CU.1826.SM.5GZYN,male,normal,Adipose Tissue,20-59,NA,1.40838449,1.25969773,2.658144772,1.276804766,2.319728682,0.958716092,0.202297402
GTEX.111CU.1926.SM.5GZYZ,male,normal,Skin,20-59,skin,0.778187641,0.609253981,2.120701853,1.033612614,1.478647512,0.769285253,2.107289181
GTEX.11DXX.2026.SM.5EGJL,female,normal,Adipose Tissue,60-100,NA,2.174101162,1.251331287,2.14223076,0.548003405,2.206455159,1.226457601,1.025179526
GTEX.111CU.2226.SM.5N9G5,male,normal,Nerve,20-59,NA,0.904344108,1.924972577,2.02669539,1.076886487,1.851269078,0.639431677,0.053439832
GTEX.111FC.0126.SM.5N9DL,male,normal,Skin,60-100,skin,0.571921511,0.812822954,1.562731355,0.298207675,1.289413228,0.476165518,1.739583528
GTEX.111FC.0226.SM.5N9B8,male,normal,Adipose Tissue,60-100,NA,0.451864571,1.939143186,2.920988067,0.498511725,2.050721128,1.933085385,-2.91E-08
GTEX.111FC.0326.SM.5GZZ1,male,normal,Muscle,60-100,NA,0.326134916,0.839405741,1.995026914,0.277015057,1.317974889,0.242558613,0.293708667
GTEX.11DXX.2326.SM.5Q5A2,female,normal,Adipose Tissue,60-100,NA,2.307323309,1.585178016,2.407983652,1.347183067,2.513992714,0.825465456,0.105597995
GTEX.111FC.0526.SM.5GZZ8,male,normal,Nerve,60-100,NA,0.616482622,1.619159416,2.439666496,0.632227972,1.59535702,1.189939913,0.196766735
GTEX.1211K.1226.SM.5EQ4N,female,normal,Adipose Tissue,60-100,NA,2.180759139,1.301105851,1.568234256,0.782414445,2.083416175,0.661335879,0.050680718
GTEX.111FC.0826.SM.5GZWO,male,normal,Heart,60-100,heart,1.562840389,1.009292285,2.018699705,0.259663032,1.265851448,1.101534076,0.233320123
GTEX.111FC.1026.SM.5GZX1,male,normal,Thyroid,60-100,NA,2.503084875,1.723567794,3.071554485,0.466095419,1.534433068,0.60914026,1.977794705
GTEX.111YS.0626.SM.5GZXV,male,normal,Lung,60-100,lung,2.036173923,1.361648165,2.640165759,0.829387264,1.361648165,1.08872963,3.341380676
GTEX.111FC.1326.SM.5N9D9,male,normal,Spleen,60-100,NA,-2.74E-08,1.238104756,1.780124077,1.942718711,0.880655112,1.54379635,1.154443835
GTEX.111FC.1426.SM.5N9C7,male,normal,Adipose Tissue,60-100,NA,1.590109415,1.499027042,2.563851324,0.473101684,1.535391094,0.896516762,0.067629116
GTEX.111FC.1926.SM.5GZYC,male,normal,Testis,60-100,testis,2.683353435,1.603001414,3.211449004,1.931133152,1.743363986,1.896194364,1.922082444
GTEX.111FC.2026.SM.5GZYO,male,normal,Prostate,60-100,prostate,0.31136829,2.126593577,2.546607213,0.524328442,2.312736245,1.420559034,3.443414349
GTEX.111FC.2526.SM.5GZXU,male,normal,Skin,60-100,skin,0.443364059,1.263222327,2.43407398,0.811008117,1.297025687,0.923926176,2.610272793
GTEX.111FC.2926.SM.5GZY7,male,normal,Salivary Gland,60-100,NA,0.993335714,0.898151431,2.723919242,0.608045303,1.077131881,0.660457492,3.008273659
GTEX.111FC.3026.SM.5GZYJ,male,normal,Pituitary,60-100,NA,0.33546987,0.548326275,1.971782392,0.804846769,1.6212836,1.756346636,0.389607676
GTEX.111FC.3126.SM.5GZZ2,male,normal,Brain,60-100,brain,0.101388839,0.663914436,1.9994988,0.294973793,0.558450199,0.57241181,0.214084553
GTEX.111FC.3326.SM.5GZYV,male,normal,Brain,60-100,brain,0.417538706,1.398577139,1.869285825,0.715051822,0.377153553,0.397565511,1.058976799
GTEX.111VG.0326.SM.5GZX7,male,normal,Heart,60-100,heart,1.489386976,0.954621946,1.861305119,0.225559545,1.186896487,0.90695907,0.171672206
GTEX.111VG.0526.SM.5N9BW,male,normal,Thyroid,60-100,NA,1.147081894,1.61664552,2.85830003,1.057298567,1.166405299,1.079611231,2.06355039
GTEX.1122O.0126.SM.5GICA,female,normal,Lung,60-100,lung,0.834654997,1.134404164,2.894040948,0.77657827,1.298512999,1.05591684,3.062529435
GTEX.111VG.1626.SM.5EGIO,male,normal,Skin,60-100,skin,0.518204186,0.633336403,1.384687437,0.55850817,1.450182607,0.095811012,0.924341284
GTEX.111VG.1926.SM.5GIDO,male,normal,Testis,60-100,testis,2.230121847,1.930172901,3.303769093,2.375372204,1.037395363,2.038325018,1.821620524
GTEX.111VG.2226.SM.5N9DU,male,normal,Colon,60-100,colon,0.284226766,1.188935226,2.680049188,0.301311279,1.253491952,1.342548859,1.028716313
GTEX.111VG.2326.SM.5N9BK,male,normal,Adipose Tissue,60-100,NA,0.101717944,1.521308906,3.0097073,0.758763521,1.652118746,1.262749895,0.333771845
GTEX.111VG.2426.SM.5GZXD,male,normal,Skin,60-100,skin,0.63575513,0.918545932,2.206891839,0.60996546,1.431965186,0.64836703,2.247081602
GTEX.111VG.2526.SM.5GZXP,male,normal,Nerve,60-100,NA,0.27201187,1.218971485,2.214254307,0.820487308,1.30200269,0.988111623,0.52974974
GTEX.12696.2526.SM.5EQLN,male,normal,Adipose Tissue,60-100,NA,1.720360576,1.130477983,1.912657878,0.94902112,1.856871583,1.297911224,0.04820487
GTEX.111YS.0126.SM.5987T,male,normal,Adrenal Gland,60-100,NA,0.850881412,1.1837333,1.383915904,2.073668421,0.526271187,1.012730874,0.044601688
GTEX.111YS.0426.SM.5987O,male,normal,Heart,60-100,heart,2.319268718,0.466205168,0.771830359,0.443325967,1.362182858,0.919753647,0.198401695
GTEX.117YX.1326.SM.5H125,male,normal,Lung,20-59,lung,1.68140681,1.4330127,2.951612277,0.955731745,1.384587971,1.241694177,3.268167223
GTEX.111YS.0726.SM.5GZY8,male,normal,Thyroid,60-100,NA,2.81993946,1.461418608,2.115094592,0.600103707,1.604642177,0.789445816,2.459951191
GTEX.111YS.0826.SM.5GZYK,male,normal,Esophagus,60-100,NA,0.454757901,0.738047399,1.608582475,0.565471438,1.627470185,1.187904527,0.47150121
GTEX.111YS.0926.SM.5EGGI,male,normal,Esophagus,60-100,NA,1.513216618,0.23309202,1.561932081,0.916552219,0.998411898,0.348302379,2.69933792
GTEX.111YS.1026.SM.5GZYE,male,normal,Esophagus,60-100,NA,0.465302756,0.715357861,1.226435083,0.408988464,1.005106444,1.707242006,0.465302756
GTEX.111YS.1126.SM.5GZYQ,male,normal,Stomach,60-100,NA,0.438483821,0.302532475,0.817251742,0.689195109,0.748216624,0.302532475,2.984342579
GTEX.111YS.1226.SM.5EGGJ,male,normal,Pancreas,60-100,pancreas,0.811545022,0.272182859,0.990937675,0.244674628,0.298702602,0.201475091,2.688093418
GTEX.111YS.1326.SM.5EGGK,male,normal,Adipose Tissue,60-100,NA,2.607524656,1.269615193,1.289565297,1.350353776,1.649284067,0.704431708,0.252414164
GTEX.111YS.1426.SM.5GID8,male,normal,Small Intestine,60-100,small intestine,3.146343814,0.089189832,3.518403205,0.537450085,0.089189832,0.089189832,3.216477786
GTEX.111YS.1526.SM.5GZYW,male,normal,Skin,60-100,skin,1.024041885,0.90853515,1.207430951,0.996962122,1.755034706,0.437317204,1.496262289
GTEX.111YS.1626.SM.5GZZ9,male,normal,Colon,60-100,colon,0.289728214,0.654753817,1.176089817,0.247371308,1.642943595,1.780704455,0.289728214
GTEX.111YS.1726.SM.5GIED,male,normal,Prostate,60-100,prostate,0.262443219,2.273355319,1.975453641,1.664380536,2.286235424,1.80070015,3.209701011
GTEX.111YS.1826.SM.5GIEP,male,normal,Colon,60-100,colon,0.517335945,0.858370833,1.193428581,0.183534853,1.430824728,1.958637093,0.356399971
GTEX.111YS.1926.SM.5GICC,male,normal,Breast,60-100,NA,1.154021541,2.755983649,1.64396131,1.166588845,2.441705927,2.216339363,2.418878841
GTEX.111YS.2026.SM.5EGGL,male,normal,Testis,60-100,testis,2.78592686,1.971584285,3.345913258,2.147157815,1.921261052,1.660693179,2.139803919
GTEX.111YS.2126.SM.5EGGM,male,normal,Nerve,60-100,NA,0.410302542,1.294115961,2.03714908,0.390630615,1.662097744,1.035073895,0.519793775
GTEX.12KS4.0426.SM.5EQMC,male,normal,Adipose Tissue,20-59,NA,2.604647181,1.903510786,2.723186928,1.695616479,2.149821344,1.289178916,0.266748058
GTEX.111YS.2326.SM.5987L,male,normal,Muscle,60-100,NA,1.231109265,0.893980871,1.033335422,0.363404227,1.48500801,0.576749511,0.325273298
GTEX.111YS.2426.SM.5GZZQ,male,normal,Adipose Tissue,60-100,NA,2.562608872,1.370003257,1.800064197,1.408981926,2.243753671,1.136904718,0.073511471
GTEX.11DXZ.0726.SM.5N9C4,male,normal,Lung,20-59,lung,1.352520896,1.501094604,3.150595969,0.642171594,1.027855715,0.869635316,3.067456771
GTEX.1122O.0226.SM.5N9DA,female,normal,Thyroid,60-100,NA,2.336212764,1.206374115,2.214152603,0.740199314,1.481129345,0.664950581,2.450141686
GTEX.1122O.0326.SM.5H124,female,normal,Adrenal Gland,60-100,NA,0.553864955,1.034601939,2.377935596,1.893186339,0.468561631,0.526423939,0.226530404
GTEX.12KS4.1526.SM.5EQ6E,male,normal,Adipose Tissue,20-59,NA,1.971195977,1.52225918,2.515246609,0.583806749,1.329561347,0.493009596,0.024260458
GTEX.1122O.0526.SM.5N9DM,female,normal,Spleen,60-100,NA,0.053281269,1.438428781,1.790698474,1.481993821,0.611134086,1.005867534,0.078826278
GTEX.1122O.0626.SM.5N9B9,female,normal,Heart,60-100,heart,2.213212638,0.693548805,1.321802888,0.307765741,1.678488773,1.178378132,0.128768221
GTEX.1122O.0726.SM.5GIEV,female,normal,Pancreas,60-100,pancreas,0.952470146,0.404680344,1.241536431,0.393441434,0.426676108,0.072375559,2.663153628
GTEX.1122O.0826.SM.5GICV,female,normal,Heart,60-100,heart,2.240339895,0.584908536,1.261344466,0.507408804,1.674973546,1.102967741,0.083447656
GTEX.1122O.0926.SM.5N9C9,female,normal,Adipose Tissue,60-100,NA,2.140813467,1.149411394,1.235712319,1.342924446,1.600217551,0.229157513,0.042756036
GTEX.12WSA.0326.SM.5BC6I,male,normal,Adipose Tissue,60-100,NA,1.619157594,1.286870695,2.238288266,0.92471734,1.983675129,1.451602848,0.188724338
GTEX.1122O.1426.SM.5H11R,female,normal,Colon,60-100,colon,0.271979562,0.842190183,1.754270457,0.271979562,1.561870154,1.667851738,0.809262368
GTEX.1122O.1526.SM.5N9CL,female,normal,Colon,60-100,colon,2.786729752,0.297352823,2.590853631,0.643979635,0.297352823,0.202305771,3.421469349
GTEX.1122O.1726.SM.5GICM,female,normal,Esophagus,60-100,NA,1.376805558,0.559806299,1.46516911,0.80295204,0.954141003,0.229241499,3.022682638
GTEX.1122O.1826.SM.5EGIP,female,normal,Esophagus,60-100,NA,0.764966779,1.001937995,1.932811559,0.367903104,1.753382229,1.072352826,0.565922311
GTEX.1122O.1926.SM.5EGIQ,female,normal,Stomach,60-100,NA,0.113082247,0.462411879,1.146197828,0.546732038,0.729137198,0.180608776,2.873711831
GTEX.1122O.2126.SM.5EGIR,female,normal,Skin,60-100,skin,0.665013036,0.470864922,0.675646989,0.45696206,1.098098877,0.154439986,1.368899983
GTEX.12WSL.1126.SM.5CVNK,male,normal,Adipose Tissue,20-59,NA,2.659994063,1.114528913,1.809828444,1.271049896,1.886763984,0.840390964,0.133193647
GTEX.1128S.0126.SM.5H12S,female,normal,Thyroid,60-100,NA,2.928478721,2.201233814,2.147839665,1.003063813,1.185460695,0.869262671,3.363129298
GTEX.139T4.0126.SM.5HL5G,female,normal,Adipose Tissue,20-59,NA,0.819355006,1.529414112,2.93969278,0.462609685,1.767161617,1.398509356,0.099795661
GTEX.1128S.0826.SM.5GZZI,female,normal,Pancreas,60-100,pancreas,1.008525171,0.338525546,1.32466748,1.442713492,0.431815889,0.090701518,2.884124414
GTEX.1128S.1626.SM.5H12O,female,normal,Colon,60-100,colon,1.547122432,0.68803629,2.401255417,0.895479225,0.888270454,0.956893503,3.012818077
GTEX.1128S.2126.SM.5H12U,female,normal,Adipose Tissue,60-100,NA,2.463905654,1.280030168,2.237959189,1.645594325,1.808796127,1.125359685,0.34575262
GTEX.1128S.2326.SM.5GZZY,female,normal,Skin,60-100,skin,0.26746543,0.779665079,1.238173881,0.865630963,1.222491097,0.52974724,2.298932131
GTEX.13OVJ.0926.SM.5K7U1,female,normal,Adipose Tissue,20-59,NA,1.665135785,1.018419653,2.475504867,0.624544926,1.867840397,0.816147287,0.025070605
GTEX.1128S.2626.SM.5H11Z,female,normal,Pituitary,60-100,NA,0.207865926,2.177054006,2.535351338,1.548000821,1.680565454,2.255609721,1.483479133
GTEX.1128S.2726.SM.5H12C,female,normal,Brain,60-100,brain,0.139881013,0.398974038,1.893419781,0.241645353,0.583308215,0.382869855,0.072649829
GTEX.1128S.2826.SM.5N9DI,female,normal,Brain,60-100,brain,0.131984513,1.239405242,1.585253562,0.924615993,0.289871604,0.3303154,-3.09E-08
GTEX.13PVQ.2226.SM.5L3G9,male,normal,Adipose Tissue,20-59,NA,1.479304006,1.076836036,2.107469343,0.644582382,1.246342564,0.485570848,0.194423094
GTEX.113IC.0126.SM.5HL6T,male,normal,Skin,60-100,skin,0.204108195,1.494275333,2.888244358,0.956331081,2.064210618,1.506255603,2.48478408
GTEX.13U4I.0226.SM.5SIB1,female,normal,Adipose Tissue,20-59,NA,0.510140524,1.578016362,2.614516989,1.069813783,1.941280108,1.568944921,0.076221569
GTEX.13VXT.0926.SM.5LU5K,female,normal,Adipose Tissue,20-59,NA,2.285139704,1.413653419,1.967256005,1.135074762,1.988425964,0.958518673,0.073884277
GTEX.113IC.0526.SM.5HL76,male,normal,Nerve,60-100,NA,0.449049589,1.550383868,2.72344688,0.857605187,2.058785295,1.366815201,0.413032747
GTEX.13X6K.0726.SM.5LU2Z,female,normal,Adipose Tissue,60-100,NA,2.289649526,1.367699908,2.322371062,0.428868126,1.676466874,1.213412536,0.143998348
GTEX.113JC.0126.SM.5EGJW,female,normal,Thyroid,20-59,NA,2.330009731,2.39465147,2.684865453,1.024789492,1.078095128,0.915886642,2.819685002
GTEX.113JC.0726.SM.5GZZR,female,normal,Adipose Tissue,20-59,NA,1.687426828,2.047516545,2.246012018,0.521913344,1.548679883,1.260406447,0.218017037
GTEX.113JC.0926.SM.5H114,female,normal,Esophagus,20-59,NA,0.932620789,1.012526825,2.206679997,0.311153358,0.750648127,1.110773611,0.21201405
GTEX.113JC.1926.SM.5N9GE,female,normal,Vagina,20-59,NA,0.944101979,3.245751945,2.26696796,0.492432519,2.669363452,2.219803308,2.689623186
GTEX.113JC.2226.SM.5EGJG,female,normal,Uterus,20-59,NA,0.548087191,3.316963281,2.602767904,0.649351395,2.722188187,2.900099924,0.202943043
GTEX.113JC.2326.SM.5EQ4E,female,normal,Skin,20-59,skin,0.407734889,1.434365548,2.347169463,0.848054789,1.66047273,0.746714776,2.639837462
GTEX.113JC.2726.SM.5EGIS,female,normal,Muscle,20-59,NA,-2.71E-08,1.285390997,1.678562342,0.455495525,1.735982426,0.440726927,0.362513561
GTEX.113JC.2826.SM.5EGIT,female,normal,Pituitary,20-59,NA,0.275483162,2.424152267,2.408631017,0.939913432,0.68826349,0.767703441,1.28585462
GTEX.14753.0326.SM.5QGQB,male,normal,Adipose Tissue,60-100,NA,2.118021871,1.242975179,2.788694144,0.645043946,1.935730651,1.367938831,0.457934066
GTEX.14753.2526.SM.5LU97,male,normal,Adipose Tissue,60-100,NA,3.112313376,1.134096779,2.065164895,0.660574606,1.45957932,0.50251027,0.717984962
GTEX.117XS.0526.SM.5987Q,male,normal,Thyroid,60-100,NA,1.76000226,2.032213404,3.208569286,0.651928754,1.657669661,0.864385792,2.716423291
GTEX.14B4R.0526.SM.5QGQT,male,normal,Adipose Tissue,20-59,NA,2.182736607,1.057571395,1.782435953,0.756541389,1.62623697,0.620145021,0.247016707
GTEX.117XS.1926.SM.5GICO,male,normal,Breast,60-100,NA,1.989905592,1.574151133,2.513612582,1.250884574,1.693566067,1.009963154,0.86813766
GTEX.117XS.2026.SM.5GID1,male,normal,Testis,60-100,testis,2.768722995,1.830318485,3.362408122,2.251626112,1.711614963,2.012970344,1.90094787
GTEX.117XS.2226.SM.5GIE1,male,normal,Colon,60-100,colon,0.082970261,1.205655588,2.414785204,0.183330831,1.721538834,1.523412556,0.836031791
GTEX.117XS.2726.SM.5N9BL,male,normal,Skin,60-100,skin,0.404043762,0.694482883,1.59909082,0.754896774,1.304651693,0.306817832,0.910464535
GTEX.117XS.2926.SM.5N9BX,male,normal,Pituitary,60-100,NA,0.41895496,2.587680282,2.556617483,0.770936967,1.362263611,1.028031453,1.685496308
GTEX.117XS.3026.SM.5N9CA,male,normal,Brain,60-100,brain,0.100774925,0.366945646,2.270292967,0.366945646,0.609800775,0.349109461,0.076592712
GTEX.117XS.3126.SM.5GIDP,male,normal,Brain,60-100,brain,0.032216375,1.578674469,1.741949937,0.818563977,0.439712439,0.282506889,0.093674266
GTEX.OOBJ.0226.SM.2YUMM,male,normal,Adipose Tissue,60-100,NA,1.418950079,1.582248498,2.2665169,0.614936579,2.107176691,1.905954863,0.214916026
GTEX.117YW.0126.SM.5EGGN,male,normal,Thyroid,20-59,NA,1.746563307,1.899645146,2.903973346,1.006291704,1.524951975,0.502856863,2.788896914
GTEX.OXRK.0326.SM.3NB3R,female,normal,Adipose Tissue,20-59,NA,2.487108121,1.637232466,2.519355854,1.155808329,2.548625807,1.708213473,0.141321429
GTEX.117YW.0326.SM.5N9CY,male,normal,Heart,20-59,heart,1.14054273,0.784948361,2.033226368,0.148059927,0.744670086,0.590717439,0.029287686
GTEX.117YW.0426.SM.5GZZZ,male,normal,Heart,20-59,heart,0.763718052,0.447520346,1.711972634,0.174094432,0.468569877,0.379596307,0.184978599
GTEX.11I78.0126.SM.5HL6F,female,normal,Lung,20-59,lung,0.701235321,1.488416543,3.021874412,0.790147356,0.779590881,0.43784345,3.174285083
GTEX.117YW.0826.SM.5H11O,male,normal,Adipose Tissue,20-59,NA,1.694012473,1.902713057,2.4647046,0.627610676,1.231723952,1.334533635,0.686150348
GTEX.117YW.1426.SM.5EGGO,male,normal,Prostate,20-59,prostate,0.552491,2.176783254,2.301752949,0.623389851,2.262204436,1.510120728,3.24897384
GTEX.117YW.1526.SM.5EGGP,male,normal,Testis,20-59,testis,2.656739902,1.705805778,3.371604265,2.298521837,1.583752995,2.13093991,1.845493366
GTEX.117YW.1826.SM.5PNY5,male,normal,Colon,20-59,colon,1.69055483,0.661515983,2.60199412,1.767371179,0.350039919,0.481855503,3.502284392
GTEX.117YW.1926.SM.5H121,male,normal,Esophagus,20-59,NA,1.018668596,0.800496536,2.387870379,0.548976889,0.536431464,0.335564527,2.924503771
GTEX.117YW.2026.SM.5N9BH,male,normal,Esophagus,20-59,NA,0.448305437,1.212303487,2.471573817,0.515498199,0.899071836,1.019605966,0.615198217
GTEX.117YW.2226.SM.5N9DB,male,normal,Stomach,20-59,NA,0.133299269,0.266663088,1.520419443,0.896701797,0.495768727,0.301199715,3.207224758
GTEX.117YW.2426.SM.5Q5AE,male,normal,Muscle,20-59,NA,0.140442569,1.186880151,1.124829823,0.610281031,1.736890426,0.261653291,0.04927569
GTEX.117YW.2626.SM.5GZZH,male,normal,Skin,20-59,skin,0.564254266,1.257366261,2.223681356,0.8474019,1.351173621,0.990237814,2.238498691
GTEX.OXRL.0226.SM.3NB18,male,normal,Adipose Tissue,20-59,NA,1.413173614,1.408777563,2.525801526,1.024386943,2.405566592,1.141751232,0.285043988
GTEX.117YW.2826.SM.5H116,male,normal,Pituitary,20-59,NA,0.333456421,2.039056537,2.779474169,1.201556066,1.896285791,0.597171678,1.419048093
GTEX.117YX.0226.SM.5EGH6,male,normal,Pancreas,20-59,pancreas,1.219054535,0.249725588,1.275552142,0.415532492,0.317925567,0.109417595,2.787318285
GTEX.117YX.0326.SM.5GICL,male,normal,Small Intestine,20-59,small intestine,1.864660243,0.766335004,2.433343836,0.538933889,1.526095912,1.405544359,1.61319759
GTEX.117YX.0526.SM.5EGJH,male,normal,Colon,20-59,colon,1.729901566,0.601317653,1.685862889,0.277292215,1.617765105,1.574823596,1.548254915
GTEX.OXRP.0226.SM.3NB14,female,normal,Adipose Tissue,60-100,NA,1.480238049,1.737624073,2.57125089,1.714789844,2.357390397,1.360154268,0.028918913
GTEX.117YX.0726.SM.5GIET,male,normal,Adipose Tissue,20-59,NA,2.452605316,1.158917273,2.317491663,0.799109737,1.944966404,0.602820406,0.153064311
GTEX.117YX.0826.SM.5H11J,male,normal,Colon,20-59,colon,0.655860689,0.818649938,2.377634406,0.297163871,1.485571996,1.797326935,0.253813078
GTEX.117YX.1126.SM.5H128,male,normal,Heart,20-59,heart,2.006299117,0.356959481,0.988050958,0.610472744,1.468403227,1.257071231,0.154898291
GTEX.117YX.1226.SM.5H11S,male,normal,Thyroid,20-59,NA,2.137871976,1.375964853,2.160626991,0.79241575,1.540807631,0.44251453,2.934750324
GTEX.11I78.0226.SM.5HL6R,female,normal,Adipose Tissue,20-59,NA,2.193488089,1.421131184,2.223580364,1.109996644,2.145452008,0.27359188,1.009893278
GTEX.P44G.2326.SM.2XCCZ,male,normal,Adipose Tissue,20-59,NA,2.127117748,1.193645904,1.776708581,1.204905749,1.364997446,0.790290288,-2.29E-08
GTEX.117YX.1526.SM.5H12T,male,normal,Prostate,20-59,prostate,0.924156455,1.808549032,2.197411017,1.068944955,2.573054217,1.303793931,3.419381046
GTEX.117YX.1626.SM.5GZZG,male,normal,Esophagus,20-59,NA,1.861497536,0.317655359,1.57619163,0.913387841,0.827541153,0.474191956,2.883267183
GTEX.117YX.1926.SM.5GIEC,male,normal,Skin,20-59,skin,0.480125572,0.595145685,1.791254311,0.941150955,1.456489407,0.492446307,2.522532291
GTEX.117YX.2126.SM.5GIEL,male,normal,Spleen,20-59,NA,-2.64E-08,1.437092517,1.694548396,0.991856569,0.338116255,0.978149619,0.09217432
GTEX.117YX.2226.SM.5EGJJ,male,normal,Adipose Tissue,20-59,NA,1.215945787,1.184915627,2.333435287,1.291775707,2.020278672,1.001909394,0.048840251
GTEX.117YX.2326.SM.5H12W,male,normal,Skin,20-59,skin,0.646972412,1.072445253,1.847969026,0.646972412,1.459885889,0.827955038,2.573988784
GTEX.P4QR.0426.SM.2S1NV,male,normal,Adipose Tissue,60-100,NA,1.35960279,1.630207436,2.792233099,0.49884962,2.177011367,1.534684998,0.060618707
GTEX.P4QS.0226.SM.3NB1U,male,normal,Adipose Tissue,60-100,NA,2.077182349,1.081494138,2.643861867,0.846707504,2.404632125,1.435674134,0.278014881
GTEX.P78B.0226.SM.3NB1Z,female,normal,Adipose Tissue,20-59,NA,2.208087607,1.57276027,2.565829573,1.540920469,2.233974539,1.487589781,0.080930955
GTEX.PLZ5.1826.SM.3NB22,male,normal,Adipose Tissue,20-59,NA,0.335180887,1.550959046,2.478141448,0.833905836,2.438488348,0.954642409,0.082700287
GTEX.1192W.0226.SM.5EGGT,male,normal,Heart,60-100,heart,1.841935722,1.255591497,2.187638786,0.294841802,1.516362035,1.262967401,0.325246234
GTEX.1192W.0826.SM.5EGHE,male,normal,Esophagus,60-100,NA,1.093875774,1.388745455,2.419047575,0.44170321,1.264465498,0.716732245,0.732173655
GTEX.1192W.2326.SM.5N9BS,male,normal,Testis,60-100,testis,2.507844599,1.929320084,2.671142882,1.576210105,2.351995839,1.843542422,0.218623002
GTEX.1192W.3026.SM.5GZZV,male,normal,Pituitary,60-100,NA,0.400476156,2.455767596,2.693206857,1.088360193,1.223458735,1.459121702,1.330084688
