sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PAEIKD.09,male,cancer,NA,0-19,blood,-2.41E-08,0.462384383,0.397089406,0.474814822,1.433893559,-2.41E-08,0.063834607
TARGET.20.PAKERZ.04,female,cancer,NA,0-19,blood,0.019039001,0.364231843,0.141110609,0.496239978,2.008097605,0.037646517,-2.10E-08
TARGET.20.PAKERZ.09,female,cancer,NA,0-19,blood,-2.39E-08,0.021639468,0.083480566,0.22913287,2.175816456,-2.39E-08,-2.39E-08
TARGET.20.PAKIWK.04,male,cancer,NA,0-19,blood,-2.19E-08,0.855726087,0.710295898,0.05811868,-2.19E-08,0.019826408,0.039193101
TARGET.20.PAKIWK.09,male,cancer,NA,0-19,blood,-2.19E-08,0.953534255,0.645552766,0.377839567,0.019842135,-2.19E-08,-2.19E-08
TARGET.20.PAKIYW.09,female,cancer,NA,0-19,blood,-2.06E-08,0.184903257,0.228592016,0.072301093,0.242606835,-2.06E-08,-2.06E-08
TARGET.20.PAKLPD.09,female,cancer,NA,0-19,blood,-1.96E-08,0.295577743,0.59039331,0.035194696,-1.96E-08,-1.96E-08,-1.96E-08
TARGET.20.PAKSMZ.03,male,cancer,NA,0-19,blood,0.042120382,0.157230079,0.242261148,0.062429199,1.397039562,-2.35E-08,-2.35E-08
TARGET.20.PAKTCX.04,female,cancer,NA,0-19,blood,-1.63E-08,-1.63E-08,1.366370252,0.270866185,-1.63E-08,0.057605682,0.239605364
TARGET.20.PAKTCX.09,female,cancer,NA,0-19,blood,0.171905195,0.067033489,0.388225955,0.017302554,-1.91E-08,-1.91E-08,-1.91E-08
TARGET.20.PAKVGI.09,female,cancer,NA,0-19,blood,0.116207225,0.079238227,0.376297643,0.539210512,2.055947135,-2.26E-08,-2.26E-08
TARGET.20.PALGKX.04,female,cancer,NA,0-19,blood,0.035402904,0.48962721,1.496265806,0.389228434,0.148106763,-1.97E-08,0.017897457
TARGET.20.PALGKX.09,female,cancer,NA,0-19,blood,-1.91E-08,-1.91E-08,0.837194936,0.239284627,0.067192026,-1.91E-08,0.017344185
TARGET.20.PAMVKZ.09,male,cancer,NA,0-19,blood,-1.89E-08,0.034004331,0.903366857,0.017186307,0.445134024,-1.89E-08,-1.89E-08
TARGET.20.PAMYAS.04,male,cancer,NA,0-19,blood,0.049914602,-1.87E-08,0.209210544,0.126525163,0.29516217,-1.87E-08,-1.87E-08
TARGET.20.PAMYAS.09,male,cancer,NA,0-19,blood,-1.48E-08,-1.48E-08,0.350390853,0.039510736,-1.48E-08,-1.48E-08,-1.48E-08
TARGET.20.PAMYGX.09,female,cancer,NA,0-19,blood,-2.83E-08,0.517080007,1.387353007,0.739920029,0.585607994,-2.83E-08,0.074925048
TARGET.20.PANAEV.09,male,cancer,NA,0-19,blood,-1.53E-08,-1.53E-08,0.732460319,0.09221954,-1.53E-08,-1.53E-08,0.041014577
TARGET.20.PANBZH.09,male,cancer,NA,0-19,blood,-1.70E-08,0.141761388,1.039670879,-1.70E-08,1.187070473,-1.70E-08,-1.70E-08
TARGET.20.PANCSC.09,female,cancer,NA,0-19,blood,-1.82E-08,0.178315993,0.321601038,-1.82E-08,-1.82E-08,-1.82E-08,0.12345991
TARGET.20.PANDER.09,female,cancer,NA,0-19,blood,0.044909987,-1.68E-08,0.734513576,-1.68E-08,0.087235132,-1.68E-08,-1.68E-08
TARGET.20.PANDIX.09,male,cancer,NA,0-19,blood,0.072973512,0.311713068,1.407819403,0.373155495,-2.08E-08,-2.08E-08,-2.08E-08
TARGET.20.PANFMG.09,male,cancer,NA,0-19,blood,-2.06E-08,-2.06E-08,0.242343652,0.036913054,1.841410547,-2.06E-08,-2.06E-08
TARGET.20.PANGCM.03,male,cancer,NA,0-19,blood,-1.61E-08,-1.61E-08,1.602355016,-1.61E-08,0.507496842,-1.61E-08,-1.61E-08
TARGET.20.PANGDN.09,male,cancer,NA,0-19,blood,-1.89E-08,0.033966067,0.736674835,0.033966067,0.033966067,0.017166855,-1.89E-08
TARGET.20.PANGJY.09,female,cancer,NA,0-19,blood,-1.78E-08,0.2930967,0.106548888,-1.78E-08,0.106548888,-1.78E-08,0.016170975
